id,Tenancy__r:Contract:PMS_Reference__C,pms_reference__c
006Nz000008VLWcIAO,111867043005,111867043005
006Nz00000BJug6IAD,111867062004,111867062004
006Nz000006xePOIAY,111867110004,111867110004
006Nz00000AaVltIAF,111867149003,111867149003
006Nz000006alLAIAY,111867190004,111867190004
006Nz00000AqQ3uIAF,111867209005,111867209005
006Nz000009PUH9IAO,111867210004,111867210004
006Nz00000Ai1NdIAJ,111868013004,111868013004
006Nz000005pnv3IAA,111868030005,111868030005
006Nz000008Yq7gIAC,111868034004,111868034004
006Nz000006rbsaIAA,111868035005,111868035005
006Nz00000ATDsAIAX,111868046003,111868046003
006Nz00000ApkW7IAJ,111868106005,111868106005
006Nz000008VvBuIAK,111868112004,111868112004
006Nz000006d7cUIAQ,111868141004,111868141004
006Nz00000BcIQcIAN,111868191004,111868191004
006Nz00000BcHxbIAF,111868192003,111868192003
006Nz000009PbDhIAK,111868197004,111868197004
006Nz000007x8C7IAI,111868226004,111868226004
006Nz00000BdG0AIAV,111868236005,111868236005
006Nz00000BTZlgIAH,111868238004,111868238004
006Nz000006ayqDIAQ,111892001007,111892001007
006Nz00000BKF6HIAX,112228001005,112228001005
006Nz00000BTZDmIAP,112275002004,112275002004
006Nz00000Bc5F3IAJ,112298001004,112298001004
006Nz00000ASB7iIAH,112312002004,112312002004
006Nz00000BgaVNIAZ,112416002003,112416002003
006Nz00000CEkH3IAL,112418001003,112418001003
006Nz00000BgipVIAR,112509002003,112509002003
006Nz00000A5wqTIAR,112598001003,112598001003
006Nz000008YHjPIAW,112627001005,112627001005
006Nz00000Aq1v7IAB,112873002005,112873002005
006Nz000009MwYAIA0,112900001005,112900001005
0068d000009CvZYAA0,113352001003,113352001003
006Nz000008Ic8hIAC,113561001001,113561001001
006Nz00000CXdVCIA1,113576001003,113576001003
006Nz00000Bg9dFIAR,113589001004,113589001004
006Nz00000AltjFIAR,113715002007,113715002007
006Nz000009clLjIAI,113738001002,113738001002
006Nz000007dkrqIAA,114033001003,114033001003
006Nz000007P9aNIAS,114055001004,114055001004
006Nz000009yCHOIA2,114063001003,114063001003
006Nz000009yR8DIAU,114063002003,114063002003
006Nz000009ok5jIAA,114069001003,114069001003
006Nz000008zKYJIA2,114088001004,114088001004
006Nz000009N9n1IAC,114512001002,114512001002
006Nz000007vYvSIAU,114635002004,114635002004
006Nz000006uzN9IAI,114646001005,114646001005
006Nz00000B5KeAIAV,114774001002,114774001002
006Nz000008XgdPIAS,114836002004,114836002004
006Nz00000BJnwNIAT,114864001002,114864001002
006Nz00000A5yaVIAR,114892002002,114892002002
006Nz0000091AHxIAM,115110001003,115110001003
006Nz000007hj4NIAQ,115170001002,115170001002
006Nz000008nEICIA2,115243003002,115243003002
006Nz0000084fhaIAA,115243007001,115243007001
006Nz00000A6CwqIAF,115243008004,115243008004
006Nz000007wmugIAA,115243009001,115243009001
006Nz000007td7xIAA,115243011002,115243011002
006Nz00000CbBTqIAN,115401002002,115401002002
006Nz000009Ju4ZIAS,115520001003,115520001003
006Nz00000ADhYAIA1,115589002003,115589002003
006Nz00000CUx8hIAD,115611002003,115611002003
006Nz000007vgo6IAA,115624001002,115624001002
006Nz0000073FD0IAM,115625002003,115625002003
006Nz0000084i7aIAA,115635002003,115635002003
006Nz00000BXCs8IAH,115645001004,115645001004
006Nz00000BgJJHIA3,115658002004,115658002004
006Nz00000AjC2VIAV,115974001003,115974001003
006Nz00000CDDtNIAX,122045005003,122045005003
006Nz000006TmYsIAK,122470001002,122470001002
006Pv00000FrVoEIAV,122486006002,122486006002
006Nz00000BMMlEIAX,122486008009,122486008009
006Pv00000F2MiHIAV,122486008009,122486008009
006Nz00000Bw9r0IAB,122486009005,122486009005
006Pv00000CYav9IAD,122486009005,122486009005
006Nz000000w2SrIAI,122486011005,122486011005
006Nz000006cLJdIAM,122486011005,122486011005
006Pv00000FqJVnIAN,122486011005,122486011005
006Pv00000FkvgzIAB,122486015005,122486015005
006Nz00000AVRarIAH,122486016007,122486016007
006Nz000008lDziIAE,122486018003,122486018003
006Nz000009xbV7IAI,122486018003,122486018003
006Nz000004wNoMIAU,122486020007,122486020007
006Pv00000BtNIlIAN,122486020007,122486020007
006Nz000007k262IAA,122486026004,122486026004
006Pv000009IJyMIAW,122486026004,122486026004
006Pv00000FjYD2IAN,122486027004,122486027004
006Nz000004Ws9RIAS,122486031007,122486031007
006Nz000006r1CMIAY,122486031007,122486031007
006Pv00000BC2FtIAL,122486031007,122486031007
006Nz000007uQwgIAE,122486032007,122486032007
006Nz000007u3GyIAI,122486033008,122486033008
006Nz000009IiGtIAK,122486033008,122486033008
006Pv000009APFWIA4,122486033008,122486033008
006Nz000007bMtaIAE,122486035004,122486035004
006Pv00000CzBffIAF,122486035004,122486035004
006Nz000007t8FVIAY,122486040007,122486040007
006Nz000009ajEMIAY,122486040007,122486040007
006Pv000009APFVIA4,122486040007,122486040007
006Pv00000FREUUIA5,122486040007,122486040007
006Nz000006xrL7IAI,122486041007,122486041007
006Pv00000CAUJNIA5,122486041007,122486041007
006Pv00000F2ynRIAR,122486048005,122486048005
006Pv00000FjdEIIAZ,122486054004,122486054004
006Pv00000FqFjtIAF,122486055004,122486055004
006Pv00000FqIzVIAV,122486055004,122486055004
006Pv00000FqKmnIAF,122486055004,122486055004
006Nz000007yUM0IAM,122486061005,122486061005
006Pv00000CjnkyIAB,122486061005,122486061005
006Nz000009ULEnIAO,122486070006,122486070006
006Pv00000BbRixIAF,122486070006,122486070006
006Pv00000DhTPIIA3,122486070006,122486070006
006Nz000007RzwHIAS,122486075004,122486075004
006Nz00000CCGWkIAP,122486075004,122486075004
006Nz000005jtqLIAQ,122486077004,122486077004
006Pv00000BC2FxIAL,122486077004,122486077004
006Pv00000FBFKsIAP,122486079001,122486079001
006Pv00000F6st8IAB,122486097003,122486097003
006Pv00000FEb2HIAT,122486097003,122486097003
006Nz000009tg4gIAA,122486099005,122486099005
006Pv00000AuMTEIA3,122486099005,122486099005
006Nz000007t4LWIAY,122486102005,122486102005
006Pv00000CjnkwIAB,122486102005,122486102005
006Nz000007LyQDIA0,122486106005,122486106005
006Pv00000CYavHIAT,122486106005,122486106005
006Nz000007UwKHIA0,122489022003,122489022003
006Nz00000BpJ2PIAV,122497011001,122497011001
006Nz000005SpheIAC,122528008005,122528008005
006Nz000008m54IIAQ,122528008005,122528008005
006Pv00000BC2FwIAL,122528008005,122528008005
006Nz000006glSAIAY,122528031003,122528031003
006Pv00000C7BeFIAV,122528031003,122528031003
006Nz000007VUQtIAO,122528033010,122528033010
006Pv00000CSL7bIAH,122528033010,122528033010
006Nz000005mxniIAA,122528047007,122528047007
006Nz000009kFG0IAM,122528047007,122528047007
006Pv00000BT4jhIAD,122528047007,122528047007
006Nz000005msjBIAQ,122528053008,122528053008
006Nz000009PjXrIAK,122528053008,122528053008
006Pv00000BT4jgIAD,122528053008,122528053008
006Nz000005mpF7IAI,122528059005,122528059005
006Nz000006Z164IAC,122528059005,122528059005
006Pv00000BbRj2IAF,122528059005,122528059005
006Nz000005Z4YxIAK,122528071002,122528071002
006Nz000009WRbEIAW,122528071002,122528071002
006Pv00000BLvgGIAT,122528071002,122528071002
006Pv00000EoumvIAB,122541001001,122541001001
006Pv00000FLocJIAT,122559004001,122559004001
006Nz000009JgjBIAS,122564001004,122564001004
006Pv000009APFeIAO,122564001004,122564001004
006Nz00000B5bNGIAZ,122586001009,122586001009
006Pv00000EkXdzIAF,122586001009,122586001009
006Nz000006vCqgIAE,122586002005,122586002005
006Pv00000Cqy7GIAR,122586002005,122586002005
006Nz0000073iq5IAA,122586011005,122586011005
006Pv00000CfZz6IAF,122586011005,122586011005
006Nz000009Wsw9IAC,122586012003,122586012003
006Pv00000DpHKXIA3,122586012003,122586012003
006Pv00000Fp2NNIAZ,122586013002,122586013002
006Nz000009WlOPIA0,122586014005,122586014005
006Nz00000AqAlYIAV,122586014005,122586014005
006Pv00000EpxREIAZ,122586014005,122586014005
006Nz000006raecIAA,122586020003,122586020003
006Pv00000BQqrGIAT,122586020003,122586020003
006Pv00000DAVRdIAP,122586020003,122586020003
006Nz00000A5PjMIAV,122586022003,122586022003
006Pv00000EiF51IAF,122586022003,122586022003
006Nz000008T9HuIAK,122587011003,122587011003
006Pv0000095DyvIAE,122587011003,122587011003
006Nz000005tS7JIAU,122587012003,122587012003
006Nz00000A2tHYIAZ,122587012003,122587012003
006Nz00000A7i8mIAB,122587012003,122587012003
006Nz000008TNSvIAO,122587025004,122587025004
006Pv00000D8mxgIAB,122587025004,122587025004
006Pv00000FCiRGIA1,122587026008,122587026008
006Nz00000BM7kUIAT,122598001009,122598001009
006Nz000009V3ULIA0,122600007008,122600007008
006Pv00000DHrFUIA1,122600007008,122600007008
006Nz00000AYrc5IAD,122600015004,122600015004
006Pv00000DpNWCIA3,122600015004,122600015004
006Nz000008nUd3IAE,122601002004,122601002004
006Pv00000D24BuIAJ,122601002004,122601002004
006Nz00000BJmvTIAT,122601005012,122601005012
006Nz00000CO081IAD,122601005012,122601005012
006Nz00000BM0UVIA1,122601010005,122601010005
006Pv00000FCoA5IAL,122601026006,122601026006
006Pv00000FkgZvIAJ,122601026006,122601026006
006Nz000008bZrtIAE,122601027009,122601027009
006Pv00000Cs2HPIAZ,122601027009,122601027009
006Nz0000093xMYIAY,122602001004,122602001004
006Pv00000DOxBJIA1,122602001004,122602001004
006Nz000008hItAIAU,122610001005,122610001005
006Pv000009APFdIAO,122610001005,122610001005
006Nz000006UL8dIAG,127057056002,127057056002
006Nz000009XEtRIAW,127057087003,127057087003
006Pv00000DVyABIA1,127057087003,127057087003
006Nz000009xn6fIAA,127057205007,127057205007
006Pv00000DOxIuIAL,127057205007,127057205007
006Nz000008SX9KIAW,127061001003,127061001003
006Nz000009d2b4IAA,127102008003,127102008003
006Nz00000AVxpHIAT,127107008002,127107008002
006Nz000006U4ltIAC,127131013003,127131013003
006Nz00000AtgTtIAJ,127137004003,127137004003
006Nz000009JUWlIAO,127181001003,127181001003
006Nz00000CYwInIAL,127224001002,127224001002
006Nz0000089fKIIAY,127229006003,127229006003
006Pv00000CIQmkIAH,127229006003,127229006003
006Nz00000BXbKDIA1,127257001002,127257001002
006Nz000009l7IdIAI,127257004002,127257004002
006Nz00000BrL5LIAV,127257004002,127257004002
006Nz000006uT0jIAE,127277001002,127277001002
006Pv00000FJck7IAD,127283001002,127283001002
006Nz000008bA73IAE,127283008002,127283008002
006Pv00000ApTyJIAV,127283008002,127283008002
006Nz000007bChJIAU,127283010002,127283010002
006Pv00000AuMOHIA3,127283010002,127283010002
006Nz00000B0UKjIAN,127286001002,127286001002
006Pv00000BRweHIAT,127286001002,127286001002
006Nz000007f2LBIAY,127378002002,127378002002
006Nz00000BXGsTIAX,127399001002,127399001002
006Nz0000094ElZIAU,127404001002,127404001002
006Nz00000A8ZioIAF,127408005003,127408005003
006Nz00000CCTlhIAH,127408008002,127408008002
006Nz000008nCg9IAE,127422001002,127422001002
006Nz00000Ab0svIAB,127423001002,127423001002
006Nz000006U4QwIAK,127443001003,127443001003
006Nz000008CEiZIAW,127465006002,127465006002
006Nz000007tIRnIAM,127483039004,127483039004
006Pv00000CzBfhIAF,127483039004,127483039004
006Nz000003R7q7IAC,127483044001,127483044001
006Pv00000BXeICIA1,127483044001,127483044001
006Nz000005pqwAIAQ,127483045001,127483045001
006Nz00000AY4MxIAL,127483045001,127483045001
006Pv00000DoTovIAF,127483045001,127483045001
006Nz000008TDYNIA4,127483047002,127483047002
006Nz00000CXUU2IAP,127483047002,127483047002
006Pv00000CzBflIAF,127483047002,127483047002
006Nz000008YYp5IAG,127483052002,127483052002
006Nz00000CXUU5IAP,127483052002,127483052002
006Nz000004x12cIAA,127483063002,127483063002
006Pv00000BO8ChIAL,127483063002,127483063002
006Pv00000FryAHIAZ,127483065001,127483065001
006Nz000005VLzpIAG,127483068001,127483068001
006Pv00000CMx98IAD,127483068001,127483068001
006Nz000003P9UdIAK,127483069001,127483069001
006Pv00000BC2FsIAL,127483069001,127483069001
006Nz000009Jf3uIAC,127484005003,127484005003
006Pv00000DUWrNIAX,127484005003,127484005003
006Nz000008Db8RIAS,127484006002,127484006002
006Pv00000Cjnl3IAB,127484006002,127484006002
006Nz000008DYTvIAO,127484018003,127484018003
006Pv00000BMyVeIAL,127484018003,127484018003
006Pv00000Cjnl2IAB,127484018003,127484018003
006Nz000007w2gYIAQ,127535007002,127535007002
006Pv000009POUzIAO,127535007002,127535007002
006Pv000009Ptc2IAC,127535007002,127535007002
006Pv00000CaakeIAB,127535007002,127535007002
006Pv00000FJck5IAD,127586001001,127586001001
006Nz000009t81RIAQ,127586008002,127586008002
006Nz00000AbYONIA3,127608002002,127608002002
006Nz00000AVhBJIA1,127634004002,127634004002
006Nz000005pXv8IAE,127639005002,127639005002
006Nz000007jni9IAA,127662006002,127662006002
006Nz0000084TqKIAU,127676001001,127676001001
006Nz00000AG79SIAT,127681001001,127681001001
006Nz000007Md3XIAS,127688001001,127688001001
006Nz00000AbfuTIAR,127689001001,127689001001
006Nz00000AG9eJIAT,127690001999,127690001999
006Nz000008Iqy1IAC,127699001002,127699001002
006Nz0000082Yx5IAE,127721001002,127721001002
006Nz000007wZEJIA2,127722001001,127722001001
006Nz000007ek3MIAQ,127725001002,127725001002
006Nz000009V7eOIAS,127758001002,127758001002
006Nz00000AGumsIAD,127760001002,127760001002
006Nz00000C6ACJIA3,127774001001,127774001001
006Nz0000089Z0PIAU,127780001001,127780001001
006Nz00000B5SrnIAF,127781001001,127781001001
006Nz000009H5EJIA0,127782001001,127782001001
006Nz000005VgL6IAK,127784001001,127784001001
006Nz000006HB3dIAG,127784002001,127784002001
006Nz000005VofBIAS,127784003001,127784003001
006Nz000005VpY3IAK,127784004001,127784004001
006Nz000005Vnj8IAC,127784005001,127784005001
006Nz000005VpplIAC,127784006001,127784006001
006Nz000005VexgIAC,127784007001,127784007001
006Nz000005VdVIIA0,127784008001,127784008001
006Nz000009HgYkIAK,127785001001,127785001001
006Nz00000Bzo3DIAR,127785003001,127785003001
006Nz00000A6dybIAB,127785005001,127785005001
006Nz00000A3O1kIAF,127785007001,127785007001
006Nz00000Ab5BBIAZ,127786001001,127786001001
006Nz00000B5VkrIAF,127787001001,127787001001
006Nz00000AZEdRIAX,127788001001,127788001001
006Nz000009KZsUIAW,127789001001,127789001001
006Nz0000091chBIAQ,127793001001,127793001001
006Nz000008A51vIAC,127794001001,127794001001
006Nz000005ZEtHIAW,127795001001,127795001001
006Nz000005Z6ZHIA0,127798001001,127798001001
006Nz00000AbNuLIAV,127799001001,127799001001
006Nz00000B5Tb6IAF,127799002001,127799002001
006Nz00000BXp2DIAT,127799004001,127799004001
006Nz00000Ba1QpIAJ,127799005001,127799005001
006Nz00000BzdXbIAJ,127799007001,127799007001
006Nz0000093yKFIAY,127799008001,127799008001
006Nz000005VYXEIA4,127800001001,127800001001
006Nz000005tGFuIAM,127800003001,127800003001
006Nz000005VVazIAG,127800004001,127800004001
006Nz000006FUFGIA4,127800005001,127800005001
006Nz000005VUgVIAW,127800006001,127800006001
006Nz00000950zvIAA,127802001001,127802001001
006Nz000007Moq9IAC,127803001001,127803001001
006Nz000005ZCQ3IAO,127805001001,127805001001
006Nz000005ZNLUIA4,127807001001,127807001001
006Nz000006H9eYIAS,127809001001,127809001001
006Nz000005ZCWVIA4,127810001001,127810001001
006Nz000005Z0m5IAC,127811001001,127811001001
006Nz000005ZDEBIA4,127812001001,127812001001
006Nz000005ZDxBIAW,127814001001,127814001001
006Nz000005ZGqDIAW,127815001001,127815001001
006Nz000007MZUeIAO,127817001001,127817001001
006Nz000007MolLIAS,127818001001,127818001001
006Nz00000AbP4wIAF,127819001001,127819001001
006Nz00000A1X7SIAV,127820001001,127820001001
006Nz000008AA1ZIAW,127821001001,127821001001
006Nz00000AbRWaIAN,127822001001,127822001001
006Nz00000BXN7ZIAX,127823001001,127823001001
006Nz00000AbHSOIA3,127825001002,127825001002
006Nz00000A12wVIAR,127826001001,127826001001
006Nz00000A0t6rIAB,127827001001,127827001001
006Nz00000A0tzgIAB,127828001001,127828001001
006Nz000009qPRlIAM,127829001001,127829001001
006Nz00000Ab1x4IAB,127830001002,127830001002
006Nz00000Ba66zIAB,127832001001,127832001001
006Nz00000B82vxIAB,127833001001,127833001001
006Nz00000Bzui6IAB,127837001001,127837001001
006Nz00000C6V0hIAF,216408001002,216408001002
006Nz000007e0y9IAA,216426001003,216426001003
006Nz00000A6mfJIAR,216450001003,216450001003
006Nz000006eIHJIA2,216561001002,216561001002
006Nz000007dlKqIAI,216615002006,216615002006
006Nz00000A5NSyIAN,217099009005,217099009005
006Nz00000BJqJBIA1,217371020010,217371020010
006Nz000007SD1VIAW,217371025008,217371025008
006Nz00000BaTMyIAN,217371025008,217371025008
006Pv00000CISlLIAX,217371025008,217371025008
006Nz000008nprCIAQ,217371035005,217371035005
006Pv00000DMhdMIAT,217371035005,217371035005
006Nz000009U306IAC,217371043009,217371043009
006Nz000009XRdwIAG,217371043009,217371043009
006Pv00000DkVw2IAF,217371043009,217371043009
006Nz000005mVugIAE,217371050004,217371050004
006Pv00000BuOJEIA3,217371050004,217371050004
006Nz00000AJB8ZIAX,217371052005,217371052005
006Nz00000AOLTlIAP,217371054010,217371054010
006Pv00000DoIQTIA3,217371054010,217371054010
006Nz00000B8KfzIAF,217371064009,217371064009
006Pv00000BWoOOIA1,217371064009,217371064009
006Pv00000Er7gHIAR,217371064009,217371064009
006Nz00000BgPBmIAN,217371066005,217371066005
006Pv00000FAtM3IAL,217371066005,217371066005
006Nz00000CC89NIAT,217371074008,217371074008
006Nz000008G8UtIAK,217371078006,217371078006
006Pv00000CndK5IAJ,217371078006,217371078006
006Nz000008qOMfIAM,217371085007,217371085007
006Pv000009EygmIAC,217371085007,217371085007
006Nz000004kT3CIAU,217371086008,217371086008
006Pv00000BO8CgIAL,217371086008,217371086008
006Nz000008gM5xIAE,217371088006,217371088006
006Pv00000DCDdUIAX,217371088006,217371088006
006Nz00000BF55tIAD,217371097008,217371097008
006Nz00000BaQQtIAN,217371097008,217371097008
006Pv00000Er7gIIAR,217371097008,217371097008
006Nz00000AnXRkIAN,217371101003,217371101003
006Pv00000EeSH3IAN,217371101003,217371101003
006Nz000007gw5EIAQ,217371108007,217371108007
006Pv000009687HIAQ,217371108007,217371108007
006Nz000009z6krIAA,222486002005,222486002005
006Pv00000DUWrOIAX,222486002005,222486002005
006Nz000009EXa1IAG,222486005008,222486005008
006Pv00000DHrFSIA1,222486005008,222486005008
006Nz00000BoXVVIA3,222486006008,222486006008
006Pv00000F6fJDIAZ,222486006008,222486006008
006Nz000005sLhUIAU,222487005003,222487005003
006Pv00000A4uVpIAJ,222487005003,222487005003
006Pv00000BbRj3IAF,222487005003,222487005003
006Nz000006EsulIAC,222487010004,222487010004
006Nz000007RPrmIAG,222487010004,222487010004
006Pv00000CMx9AIAT,222487010004,222487010004
006Nz000005TXaQIAW,222487024005,222487024005
006Pv000009AP8uIAG,222487024005,222487024005
006Pv00000CHLNqIAP,222487024005,222487024005
006Pv00000FE1i0IAD,222487032010,222487032010
006Nz000007JbUXIA0,222487038006,222487038006
006Pv00000CyFbiIAF,222487038006,222487038006
006Nz000009ESIbIAO,222487049004,222487049004
006Pv00000A4uVqIAJ,222487049004,222487049004
006Pv00000DVyA7IAL,222487049004,222487049004
006Nz00000BNIItIAP,222487057010,222487057010
006Nz000006ZndVIAS,222488014007,222488014007
006Nz000009dHOpIAM,222488014007,222488014007
006Pv00000CaakgIAB,222488014007,222488014007
006Nz000008DaxCIAS,222488016005,222488016005
006Nz00000BN6BFIA1,222488016005,222488016005
006Pv00000D9WZ2IAN,222488016005,222488016005
006Nz0000065u4XIAQ,222488023003,222488023003
006Pv00000CHLNsIAP,222488023003,222488023003
006Nz000009J5mnIAC,222488027005,222488027005
006Pv00000DtggtIAB,222488027005,222488027005
006Nz00000BLtmPIAT,222488030003,222488030003
006Pv00000AUJ6JIAX,222488030003,222488030003
006Pv00000F2MiFIAV,222488030003,222488030003
006Nz00000A3qFgIAJ,222488034007,222488034007
006Pv00000EeSH0IAN,222488034007,222488034007
006Nz000006TMkwIAG,222488043003,222488043003
006Nz000007RPrzIAG,222488043003,222488043003
006Pv00000Ed54eIAB,222488043003,222488043003
006Nz000009UMvqIAG,222488047007,222488047007
006Pv00000Ej90rIAB,222488047007,222488047007
006Nz000006xAccIAE,222488054004,222488054004
006Pv00000DKjRnIAL,222488054004,222488054004
006Nz000004C7zaIAC,222488056007,222488056007
006Pv00000C5qLkIAJ,222488056007,222488056007
006Nz0000089UgnIAE,222488065008,222488065008
006Pv00000CfZz8IAF,222488065008,222488065008
006Nz00000BJiwfIAD,222488066009,222488066009
006Pv00000AS6WGIA1,222488066009,222488066009
