_id,Tenancy__r:Contract:PMS_Reference__c,ownerid,accountid,recordtypeid,unit__c,status,tenancy_status__c,startdate,tenancy_end_date__c,agreement_type__c,document_type__c,memorandum_of_agreement_date__c,actual_move_out_date__c,uplift_percentage__c,security_deposit_amount__c,break_clause__c,special_clauses__c,special_clause_free_text__c,vehicle_make__c,vehicle_model__c,vehicle_registration__c,opportunity__c,pms_reference__c
8004J000000BdQTQA0,222522027004,0054J000004vXPGQA2,0014J00000WqczDQAR,012Pv0000021hzSIAQ,a1G4J0000025yCiUAI,Draft,Draft,2021-05-15,2023-05-14,AST,AST,,,3.0,740,2 at 10 to expire at 12,,,,,,0064J00000DJKnFQAX,222522027004
8004J000000Bda9QAC,222648191001,0054J000004vXOqQAM,0014J00000VvUFLQA3,012Pv0000021hzSIAQ,a1G4J0000025xz9UAA,Draft,Draft,2021-05-24,2022-05-23,AST,AST,,,4.0,1110,No Break,,,,,,0064J00000DsR3nQAF,222648191001
8004J000000BdkdQAC,222629040003,0054J000004vXOxQAM,0014J00000VvTiYQAV,012Pv0000021hzSIAQ,a1G4J0000025yAPUAY,Draft,Draft,2021-05-06,2021-11-05,Licence,Parking Licence,,,6.0,0,No Break,,,,Vauxhaul Astra,,0064J00000DtU8lQAF,222629040003
8004J000000BdoVQAS,418576063003,0054J000004vXOqQAM,0014J00000XJbFwQAL,012Pv0000021hzSIAQ,a1G4J0000025z2sUAA,Draft,Draft,2021-05-20,2022-05-19,Live Work,Statutory Declaration,,,4.0,2080,No Break,,,,,,0064J00000DrvGPQAZ,418576063003
8008d000000YX0hAAG,222664009001,0058d0000034SvqAAE,0018d00000QKBrnAAH,012Pv0000021hzSIAQ,a1G4J000004jurvUAA,Draft,Ended,2023-01-31,2024-01-30,AST,AST,,,8.0,2355,No Break,,,,,,0068d00000BK7jcAAD,222664009001
8004J000000BdqgQAC,317677006003,0054J000004vXPGQA2,0014J00000XLkQOQA1,012Pv0000021hzSIAQ,a1G4J0000025yh8UAA,Draft,Draft,2021-05-08,2022-05-07,AST,AST,,,4.0,2513.33,No Break,,,,,,0064J00000DseXyQAJ,317677006003
8004J000000BdyBQAS,222629040003,0054J000004vXPGQA2,0014J00000VvTiYQAV,012Pv0000021hzSIAQ,a1G4J0000025yAPUAY,Draft,Draft,2021-05-06,2021-11-05,Licence,Parking Licence,,,6.0,0,No Break,,,Vauxhall,Astra - Red,BN69 ENR,0064J00000DtU8lQAF,222629040003
8004J000000BeGFQA0,122608001006,0054J000004vXPCQA2,0014J00000XyFHLQA3,012Pv0000021hzSIAQ,a1G4J0000025x2YUAQ,Draft,Draft,2021-05-22,2022-05-21,AST,AST,,,4.0,1125,2 at 10 to expire at 12,,,,,,0064J00000Du6AaQAJ,122608001006
8004J000000BeZCQA0,418576040001,0054J000004vXP2QAM,0014J00000VvVAeQAN,012Pv0000021hzSIAQ,a1G4J0000025zkeUAA,Draft,Draft,2021-06-26,2021-12-25,Live Work,Live Work Agreement;Simple Declaration,,,2.5,2446.15,LW Renewal 2 month,,,,,,0064J00000ElGVzQAN,418576040001
8004J000000Beg3QAC,122595001004,0054J000005l5ISQAY,0014J00000XypUIQAZ,012Pv0000021hzSIAQ,a1G4J0000025wzoUAA,Draft,Draft,2021-06-01,2024-05-31,AST,AST,,,3.0,1050,2 at 10 to expire at 12,,,,,,0064J00000DuDOtQAN,122595001004
8004J000000BeiAQAS,122595001004,0054J000004vXPGQA2,0014J00000XypUIQAZ,012Pv0000021hzSIAQ,a1G4J0000025wzoUAA,Draft,Draft,2021-06-01,2024-05-31,AST,AST,,,3.0,1050,2 at 10 to expire at 12,,The landlord has agreed to rent incentive of 1 months free rent. £1050.00 to be split across the first 12 months of tenancy. £87.50 PCM to be deducted from the rent from June 21 to May 22.,,,,0064J00000DuDOtQAN,122595001004
8004J000000BeiOQAS,122595001004,0054J000004vXPGQA2,0014J00000XypUIQAZ,012Pv0000021hzSIAQ,a1G4J0000025wzoUAA,Draft,Draft,2021-06-01,2024-05-31,AST,AST,,,3.0,1050,2 at 10 to expire at 12,,The landlord has agreed to rent incentive of 1 months free rent. £1050.00 to be split across the first 12 months of tenancy. £87.50 PCM to be deducted from the rent from June 21 to May 22.,,,,0064J00000DuDOtQAN,122595001004
8004J000000BcUUQA0,222488018001,0054J000004vXOnQAM,0014J00000VvTGaQAN,012Pv0000021hzSIAQ,a1G4J0000025y7KUAQ,Draft,Ended,2021-05-01,2022-04-30,AST,AST,,,2.5,700,2 at 4 to expire at 6,,,,,,0064J00000DIoxOQAT,222488018001
8004J000000BfrBQAS,127057235004,0054J000004vXP2QAM,0014J00000VvS0uQAF,012Pv0000021hzSIAQ,a1G4J0000025xEfUAI,Draft,Draft,2021-07-17,2022-07-16,Licence,Parking Licence,,,6.0,0,Check Contract,,,,,,0064J00000EltqIQAR,127057235004
8004J000000BejMQAS,317640004004,0054J000004vXPGQA2,0014J00000YDLwlQAH,012Pv0000021hzSIAQ,a1G4J00000262xzUAA,Draft,Draft,2021-06-12,2022-06-11,AST,AST,,,4.0,1906.66,No Break,,The landlord agrees to a rent concession of 4 weeks free rent @ £1760.00. £1207.55 to be deducted from the apportioned rent for the period 12 - 30/06/21. The remaining £552.45 will be deducted from July's Rent leaving a balance £1354.21.,,,,0064J00000EkVcSQAV,317640004004
8004J000000Ben9QAC,418537023004,0054J000004vXOiQAM,0014J00000VvUYkQAN,012Pv0000021hzSIAQ,a1G4J0000025zeeUAA,Draft,Draft,2021-07-25,2022-07-24,AST,AST,,,2.5,980.77,2 at 4 to expire at 6,,"Water Recharge

For any Premises without a separate or individual water meter, you agree to pay such amount as is specified by the Southern Water Assessed Household Charge as is relevant for the size of the Premises. Such annual sum is to be split into monthly instalments and paid during the tenancy term by the same method and on the same dates as the Rent is paid under the terms of this Lease. For the avoidance of doubt, this sum is an amount which must be paid in addition to the Rent. We reserve the right to increase or decrease the payments required under this clause in the event that there are any changes to the Southern Water Assessed Household Charge. If we decide to do this, we will serve you with 30 days written notice of our decision and you agree to pay the new amount from the next date upon which the rent is due after 30 days written notice has been served upon you. In the event that the Southern Water Assessed Water Household Charge ceases to exist, the parties will seek to agree an alternative means to settle water charges at the property.",,,,0064J00000ElVSuQAN,418537023004
8004J000000BeqXQAS,122595001004,0054J000004vXOxQAM,0014J00000XypUIQAZ,012Pv0000021hzSIAQ,a1G4J0000025wzoUAA,Draft,Draft,2021-06-01,2024-05-31,AST,AST,,,3.0,1050,2 at 10 to expire at 12,,The landlord has agreed to rent incentive of 1 months free rent. £1050.00 to be split across the first 12 months of tenancy. £87.50 PCM to be deducted from the rent from June 21 to May 22.,,,,0064J00000DuDOtQAN,122595001004
8004J000000Bf3lQAC,127057152001,0054J000004vXOiQAM,0014J00000VvTIIQA3,012Pv0000021hzSIAQ,a1G4J0000025xK8UAI,Draft,Draft,2157-12-01,2158-05-31,AST,,,,3.0,0,2 at 4 to expire at 6,,,,,,0064J00000EmBo6QAF,127057152001
8004J000000Bf3qQAC,127057152001,0054J000004vXOiQAM,0014J00000VvTIIQA3,012Pv0000021hzSIAQ,a1G4J0000025xK8UAI,Draft,Draft,2021-07-01,2021-12-31,AST,,,,3.0,0,2 at 4 to expire at 6,,,,,,0064J00000EmBo6QAF,127057152001
8004J000000BcYvQAK,222487048001,0054J000004vXOiQAM,0014J00000VvT5iQAF,012Pv0000021hzSIAQ,a1G4J0000025xwhUAA,Draft,Ended,2021-05-01,2023-04-30,AST,AST,,,3.0,745,Halfway on an 24,,,,,,0064J00000DJ4fLQAT,222487048001
8004J000000Bf90QAC,222640001001,0054J000004vXPGQA2,0014J00000VvTw3QAF,012Pv0000021hzSIAQ,a1G4J0000025ysrUAA,Draft,Draft,2021-05-26,2022-05-25,Licence,Parking Licence,,,6.0,0,2 at 4 to expire at 6,,,,,,0064J00000EmLjnQAF,222640001001
8004J000000BfEFQA0,122595001004,0054J000004vXPGQA2,0014J00000XypUIQAZ,012Pv0000021hzSIAQ,a1G4J0000025wzoUAA,Draft,Draft,2021-06-01,2024-05-31,AST,,,,3.0,1050,2 at 10 to expire at 12,,The landlord has agreed to rent incentive of 1 months free rent. £1050.00 to be split across the first 12 months of tenancy. £87.50 PCM to be deducted from the rent from June 21 to May 22.,,,,0064J00000DuDOtQAN,122595001004
8004J000000BcdqQAC,418645039003,0054J000004vXPGQA2,0014J00000WdWCVQA3,012Pv0000021hzSIAQ,a1G4J0000025zpRUAQ,Draft,Ended,2021-04-11,2022-04-10,AST,AST,,,4.0,1595,No Break,,7 weeks rent free,,,,0064J00000DHyTHQA1,418645039003
8004J000000BcePQAS,222488060006,0054J000004vXPGQA2,0014J00000WgFWqQAN,012Pv0000021hzSIAQ,a1G4J0000025y3OUAQ,Draft,Ended,2021-04-10,2021-10-09,AST,AST,,,4.0,810,No Break,,,,,,0064J00000DIwfWQAT,222488060006
8004J000000BceUQAS,418538016002,0054J000004vXOnQAM,0014J00000VvUDjQAN,012Pv0000021hzSIAQ,a1G4J0000025znWUAQ,Draft,Ended,2021-06-01,2021-11-30,AST,AST,,,2.5,923.08,No Break,,,,,,0064J00000DJ4a6QAD,418538016002
8004J000000BchiQAC,418564026002,0054J000004vXPGQA2,0014J00000Wf5uBQAR,012Pv0000021hzSIAQ,a1G4J0000025zY0UAI,Draft,Ended,2021-05-07,2022-05-06,AST,AST,,,4.0,1385,No Break,,,,,,0064J00000DIRgMQAX,418564026002
8004J000000Bck8QAC,418574031002,0054J000004vXPGQA2,0014J00000WfyUGQAZ,012Pv0000021hzSIAQ,a1G4J0000025zo1UAA,Draft,Ended,2021-04-30,2022-04-29,AST,AST,,,4.0,1950,No Break,,The landlord agrees to a rent incentive of 10 days free rent @ £629.00,,,,0064J00000DIpEyQAL,418574031002
8004J000000Bcm4QAC,222650093001,0054J000004vXOqQAM,0014J00000Wf0duQAB,012Pv0000021hzSIAQ,a1G4J0000025yZZUAY,Draft,Ended,2021-04-30,2022-04-29,AST,AST,,,4.0,995,No Break,,,,,,0064J00000DIQA4QAP,222650093001
8004J000000BcmJQAS,110447262001,0054J000004vXOnQAM,0014J00000VvOSbQAN,012Pv0000021hzSIAQ,a1G4J0000025v7qUAA,Draft,Ended,2021-05-01,2024-04-30,AST,AST,,,3.0,1269.23,2 at 10 to expire at 12,,,,,,0064J00000Dr6OIQAZ,110447262001
8004J000000BfMTQA0,222659013001,0054J000004vXOlQAM,0014J00000YD4PXQA1,012Pv0000021hzSIAQ,a1G4J0000025yTsUAI,Draft,Draft,2021-06-18,2022-06-17,AST,AST,,,3.5,1217,2 at 4 to expire at 6,,,,,,0064J00000EkU4MQAV,222659013001
8004J000000BfMnQAK,900002052001,0054J000004vV5hQAE,0014J00000VvVYHQA3,012Pv0000021hzSIAQ,a1G4J0000025xf0UAA,Draft,Draft,2021-07-24,2022-07-23,AST,AST,,,4.0,2965,2 at 4 to expire at 6,,,,,,0064J00000EmnUyQAJ,900002052001
8004J000000BfQkQAK,418645060003,0054J000004vXP2QAM,0014J00000VvUeuQAF,012Pv0000021hzSIAQ,a1G4J00000260ChUAI,Draft,Draft,2021-09-30,2022-03-29,AST,AST,,,2.5,1903.85,2 at 4 to expire at 6,,,,,,0064J00000ElH7UQAV,418645060003
8008d000000XuiOAAS,222666019001,0054J000004vXPBQA2,0018d000003THIdAAO,012Pv0000021hzSIAQ,a1G4J000004jyeGUAQ,Draft,Draft,2021-10-13,2022-04-12,AST,AST,,,4.0,1150,No Break,,,,,,0068d000002cazlAAA,222666019001
8004J000000BcmiQAC,222580022003,0054J000004vXPGQA2,0014J00000WfYe6QAF,012Pv0000021hzSIAQ,a1G4J0000025yhTUAQ,Draft,Ended,2021-04-29,2023-04-28,AST,AST,,,3.0,1095,2 at 4 to expire at 6,,The Landlord has agreed that the tenant will have the 7th month rent free as an agreed rent incentive,,,,0064J00000DIIsuQAH,222580022003
8004J000000BfXvQAK,418574037002,0054J000005l5ISQAY,0014J00000YbScqQAF,012Pv0000021hzSIAQ,a1G4J0000025zllUAA,Draft,Draft,2021-06-26,2023-06-25,AST,AST,,,3.5,1906.66,No Break,,,,,,0064J00000ElXRoQAN,418574037002
8004J000000BcqVQAS,103200001001,0054J000004vXOnQAM,0014J00000VvM0uQAF,012Pv0000021hzSIAQ,a1G4J0000025tchUAA,Activated,Activated,2021-05-22,2022-05-21,AST,AST,,,6.0,450,2 at 4 to expire at 6,,,,,,0064J00000Dr5gNQAR,103200001001
8004J000000BcnWQAS,122486063002,0054J000004vV5hQAE,0014J00000VvRG2QAN,012Pv0000021hzSIAQ,a1G4J0000025x4lUAA,Draft,Ended,2021-05-02,2023-05-01,AST,AST,,,2.5,1736.54,Halfway on an 24,,,,,,0064J00000DIQRHQA5,122486063002
8004J000000BcrJQAS,418605002006,0054J000004vXOiQAM,0014J00000VvUgnQAF,012Pv0000021hzSIAQ,a1G4J0000025z1VUAQ,Draft,Ended,2021-05-30,2022-05-29,AST,AST,,,2.5,1269.23,2 at 4 to expire at 6,,,,,,0064J00000DrEnrQAF,418605002006
8004J000000BfbEQAS,222630194003,0054J000005l5ISQAY,0014J00000YeCzYQAV,012Pv0000021hzSIAQ,a1G4J0000025yyHUAQ,Draft,Draft,2021-08-14,2022-08-13,AST,AST,,,4.0,735,2 at 4 to expire at 6,,,,,,0064J00000EmcSTQAZ,222630194003
8004J000000BfcWQAS,222487023005,0054J000005l5ISQAY,0014J00000VvT3wQAF,012Pv0000021hzSIAQ,a1G4J0000025xshUAA,Draft,Draft,2021-07-05,2022-07-04,AST,AST,,,4.0,750,No Break,,,,,,0064J00000EkcBsQAJ,222487023005
8004J000000BfjNQAS,418576110005,0054J000004vXOaQAM,0014J00000YeF04QAF,012Pv0000021hzSIAQ,a1G4J000002607CUAQ,Draft,Draft,2021-07-01,2022-06-30,Live Work,Statutory Declaration,,,4.0,1950,No Break,,,,,,0064J00000EmcsbQAB,418576110005
8004J000000BcuhQAC,122586025006,0054J000004vXOiQAM,0014J00000VvRNnQAN,012Pv0000021hzSIAQ,a1G4J0000025wrOUAQ,Draft,Ended,2021-05-07,2022-05-06,AST,AST,,,3.0,735,2 at 4 to expire at 6,,,,,,0064J00000DrDQ2QAN,122586025006
8004J000000BcxCQAS,222649035002,0054J000004vXOqQAM,0014J00000WfENoQAN,012Pv0000021hzSIAQ,a1G4J0000025yDHUAY,Draft,Ended,2021-06-28,2022-06-27,AST,AST,,,4.0,985,No Break,,,,,,0064J00000DISs4QAH,222649035002
8004J000000BfpZQAS,418606005001,0054J000004vXOiQAM,0014J00000VvUhWQAV,012Pv0000021hzSIAQ,a1G4J0000025zhuUAA,Draft,Ended,2021-07-07,2022-07-06,AST,AST,,,2.5,1171.15,2 at 4 to expire at 6,,,,,,0064J00000ElwxfQAB,418606005001
8004J000000BfsYQAS,122586003004,0054J000004vXPCQA2,0014J00000YboLBQAZ,012Pv0000021hzSIAQ,a1G4J0000025ws1UAA,Draft,Draft,2021-06-15,2022-06-14,AST,AST,,,4.0,810,No Break,,The Landlord agrees to a rent incentive of 1 months split over the 12 month period of the tenancy. £36.00 to be deducted from the apportioned rent for the period 15 - 30/06/21. £67.50 to be deducted from the monthly rent from July 21 - May 22 and the final amount of £31.50 to be deducted from the rent payable for the period 01 - 14/06/22,,,,0064J00000ElmqoQAB,122586003004
8004J000000BfsdQAC,418577034003,0054J000004vXOnQAM,0014J00000VvUfOQAV,012Pv0000021hzSIAQ,a1G4J0000025zOKUAY,Draft,Draft,2021-07-01,2021-08-31,Live Work,Live Work Agreement,,,4.0,3550,Live Work,Water re-charge Clause,"Change Of Sharer Clause 

1. Carole Boletti and Stephanie Brown shall cease to be Tenants of the above property and shall have no claim on the deposit monies held as detailed in Clause 1.6 of the above Lease which deposit shall continue to be held by Grainger Residential Management Ltd. 
2. Matt Bridges and Ségoléne Guyot shall become Tenants of the above property and shall assume joint and several responsibility for the rent and all other terms, conditions and obligations detailed within the above Lease.
3. Matt Bridges and Ségoléne Guyot shall reimburse Carole Boletti and Stephanie Brown the proportion of the deposit monies detailed in Clause 1.6 of the above Lease, paid by them, less any agreed offset for damage which may have occurred during the period from the original commencement of the Lease to the commencement of this Lease. 
4. GRML will have no involvement in the settlement of the outgoing tenants deposit or any issues regarding the current condition of the property with the incoming tenant(s). These matters and the exchange of funds will be resolved between the two parties named in points 1 and 2 above.
5. Matt Bridges and Ségoléne Guyot shall accept the Inventory Check-In Report effected at the commencement of the Tenancy and assume joint and several responsibility for all and any damage (save for fair wear and tear) to the Property or its fixtures and furniture with effect from the commencement of that Tenancy created on 13.09.2019.",,,,0064J00000EnY4tQAF,418577034003
8004J000000Bd0BQAS,127057207003,0054J000004vXPGQA2,0014J00000VvTfVQAV,012Pv0000021hzSIAQ,a1G4J0000025xGWUAY,Draft,Ended,2021-06-01,2021-11-30,Licence,Parking Licence,,,6.0,0,No Break,,,,,,0064J00000DrY7sQAF,127057207003
8004J000000Bd1JQAS,418636010001,0054J000004vXOiQAM,0014J00000VvVIhQAN,012Pv0000021hzSIAQ,a1G4J000002609rUAA,Draft,Ended,2021-05-08,2021-11-07,AST,AST,,,2.5,2232.69,No Break,,,,,,0064J00000Dr5y5QAB,418636010001
8004J000000Bd1TQAS,222594002001,0054J000004vXOnQAM,0014J00000VvT2wQAF,012Pv0000021hzSIAQ,a1G4J0000025y1qUAA,Draft,Ended,2021-04-15,2022-04-14,AST,AST,,,4.0,932,2 at 4 to expire at 6,,,,,,0064J00000DrfMxQAJ,222594002001
8004J000000Bd1dQAC,222630067002,0054J000004vXOqQAM,0014J00000VvUfMQAV,012Pv0000021hzSIAQ,a1G4J0000025zFrUAI,Draft,Ended,2021-06-19,2022-06-18,AST,AST,,,4.0,1010,No Break,,,,,,0064J00000DJK6zQAH,222630067002
8004J000000Bd1tQAC,222487035004,0054J000004vXOnQAM,0014J00000VvSveQAF,012Pv0000021hzSIAQ,a1G4J0000025x31UAA,Draft,Ended,2021-02-01,2023-01-31,AST,AST,,,2.5,625,2 at 10 to expire at 12,,,,,,0064J00000DqzZdQAJ,222487035004
8004J000000BfuPQAS,127483037002,0054J000004vXPGQA2,0014J00000YyTLaQAN,012Pv0000021hzSIAQ,a1G4J0000025wubUAA,Draft,Draft,2021-05-28,2023-05-27,AST,,,,3.5,1365,2 at 4 to expire at 6,,,,,,0064J00000EnZNmQAN,127483037002
8004J000000BfwfQAC,418579008001,0054J000004vXOnQAM,0014J00000VvUSpQAN,012Pv0000021hzSIAQ,a1G4J0000025zxCUAQ,Draft,Draft,2021-07-01,2022-04-30,Live Work,Live Work Agreement,,,4.0,2821.15,Live Work,Water re-charge Clause,"Change Of Sharer Clause 

1. Emily Davies shall cease to be a Tenant of the above property and shall have no claim on the deposit monies held as detailed in Clause 1.6 of the above Lease which deposit shall continue to be held by Grainger Residential Management Ltd. 
2. Matilde Marangoni shall become a Tenant of the above property and shall assume joint and several responsibility for the rent and all other terms, conditions and obligations detailed within the above Lease.
3. Matilde Marangoni shall reimburse Emily Davies the proportion of the deposit monies detailed in Clause 1.6 of the above Lease, paid by them, less any agreed offset for damage which may have occurred during the period from the original commencement of the Lease to the commencement of this Lease. 
4. GRML will have no involvement in the settlement of the outgoing tenants deposit or any issues regarding the current condition of the property with the incoming tenant(s). These matters and the exchange of funds will be resolved between the two parties named in points 1 and 2 above.
5. Matilde Marangoni shall accept the Inventory Check-In Report effected at the commencement of the Tenancy and assume joint and several responsibility for all and any damage (save for fair wear and tear) to the Property or its fixtures and furniture with effect from the commencement of that Tenancy created on 25.04.2014.",,,,0064J00000EnYMTQA3,418579008001
8004J000001IxZCQA0,222521031002,0054J000004vXPCQA2,0014J00000YEgqvQAD,012Pv0000021hzSIAQ,a1G4J0000025y1IUAQ,Draft,Draft,2021-06-19,2021-12-18,AST,AST,,,4.0,715,No Break,,The landlord agrees to a rent incentive of half a months rent split over 6 months for the period of the tenancy.  £23.88 will be deducted from the apportioned rent for the period 19 - 30/6/21. £59.58 will be deducted from the monthly rent from July 21 - May 22 and the final amount of £35.82 to be deducted from the rent payable for the period 01-18/6/22.,,,,0064J00000El7hJQAR,222521031002
8004J000000Bd3oQAC,317636002007,0054J000004vXOnQAM,0014J00000W1p2AQAR,012Pv0000021hzSIAQ,a1G4J00000262wnUAA,Draft,Ended,2021-06-01,2021-11-30,AST,AST,,,4.0,1176.9,No Break,,,,,,0064J00000DJ4WxQAL,317636002007
8004J000000Bd3tQAC,122614001003,0054J000004vXOnQAM,0014J00000VvRCCQA3,012Pv0000021hzSIAQ,a1G4J0000025wzcUAA,Draft,Ended,2021-05-03,2022-05-02,AST,AST,,,2.5,875,2 at 4 to expire at 6,,,,,,0064J00000DrK2wQAF,122614001003
8004J000001IxbhQAC,418537016005,0054J000005l5ISQAY,0014J00000ZPB5sQAH,012Pv0000021hzSIAQ,a1G4J0000025zWTUAY,Draft,Ended,2021-06-25,2022-06-24,AST,AST,,,4.0,850,No Break,,,,,,0064J00000DZEWtQAP,418537016005
8004J000001IxlIQAS,418575043002,0054J000004vXOnQAM,0014J00000VvV67QAF,012Pv0000021hzSIAQ,a1G4J0000025zanUAA,Draft,Draft,2021-07-23,2022-07-22,Live Work,Live Work Agreement,,,4.0,3950,2 at 4 to expire at 6,,,,,,0064J00000EmnRBQAZ,418575043002
8004J000001IxmuQAC,122486083002,0054J000004vXP2QAM,0014J00000VvRk3QAF,012Pv0000021hzSIAQ,a1G4J0000025wqGUAQ,Draft,Ended,2021-08-02,2022-08-01,AST,AST,,,2.5,1442.31,2 at 4 to expire at 6,,,,,,0064J00000FTj2MQAT,122486083002
8004J000001Ixr6QAC,127416001002,0054J000004vXPGQA2,0014J00000ZRCezQAH,012Pv0000021hzSIAQ,a1G4J0000025wY2UAI,Draft,Draft,2021-06-21,2026-06-20,AST (Affordable),,,,6.0,0,2 at 4 to expire at 6,,,,,,0064J00000FTr1hQAD,127416001002
8004J000001IxsEQAS,111509003003,0054J000004vXOnQAM,0014J00000VvOsIQAV,012Pv0000021hzSIAQ,a1G4J0000025uw5UAA,Draft,Ended,2021-08-01,2022-07-31,Licence,Parking Licence,,,6.0,0,No Break,,,,,,0064J00000FTjJmQAL,111509003003
