pms_reference__c,accountid,break_clause__c,recordtypeid,unit__c,startdate,_enddate,status,agreement_type__c,description,_unit_rn,opportunity__c,ownerid,document_type__c,memorandum_of_agreement_date__c,tenancy_end_date__c,actual_move_out_date__c,uplift_percentage__c,security_deposit_amount__c,special_clauses__c,special_clause_free_text__c,vehicle_make__c,vehicle_model__c,vehicle_registration__c
104173006002,0014J00000VvMldQAF,Check Contract,012Pv0000027hGnIAI,a1G4J0000025tTJUAY,1994-05-16,,Draft,,Grnd Rent,1,0064J00000DFOLyQAP,,,,,,,,,,,,
103088002002,001Nz000001uCsLIAU,Check Contract,012Pv0000027hGnIAI,a1G4J0000025tTVUAY,2023-08-25,,Draft,,Nil GR,1,006Nz000001rJ7GIAU,,,,,,,,,,,,
110498001002,0014J00000VvOJXQA3,Check Contract,012Pv0000027hGnIAI,a1G4J0000025tTjUAI,2014-03-07,,Draft,,ChiefRent,1,0064J00000DFPDnQAP,,,,,,,,,,,,
122486032007,001Nz000008E4VPIA0,No Break,012Pv0000027hGnIAI,a1G4J0000025wxVUAQ,2024-03-07,,Draft,AST,AST,1,006Nz000007uQwgIAE,0058d000004DOMXAA4,AST,,2024-09-06,,6.0,1525,,,,,
110447290001,0014J00000VvOiYQAV,Renewal 2 month,012Pv0000027hGnIAI,a1G4J0000025v7HUAQ,2021-11-01,,Draft,AST,AST,1,0064J00000DFPlGQAX,0054J000004vXOnQAM,AST,,2024-10-31,,3.0,1378.84,,"Change Of Sharer Clause 

1. Wayne Jenkins shall cease to be a Tenant of the above property and shall have no claim on the deposit monies held as detailed in Clause B6 of the above Lease which deposit shall continue to be held by Grainger Residential Management Ltd. 
2. Johanne Waller shall become sole Tenant of the above property and shall assume full responsibility for the rent and all other terms, conditions and obligations detailed within the above Tenancy Agreement.
3. Johanne Waller shall reimburse Wayne Jenkins the proportion of the deposit monies detailed in B.6 of the above Tenancy Agreement paid by them less any agreed offset for damage which may have occurred during the period from the original commencement of the Tenancy to the commencement of this Tenancy Agreement. 
4. GRML will have no involvement in the settlement of the outgoing tenants deposit or any issues regarding the current condition of the property with the incoming tenant(s). These matters and the exchange of funds will be resolved between the two parties named in points 1 and 2 above.
5. Johanne Waller shall accept the Inventory Check-In Report effected at the commencement of the Tenancy and assume full responsibility for all and any damage (save for fair wear and tear) to the Property or its fixtures and furniture with effect from the commencement of that Tenancy created on 1st November 2019. 
6. The rent shall increase as per the initial Tenancy Agreement dated 1st November 2021.",,,
122059001003,0014J00000VvQmfQAF,2 at 10 to expire at 12,012Pv0000027hGnIAI,a1G4J0000025woIUAQ,2022-08-15,,Draft,AST,AST,1,0064J00000DFRTyQAP,0054J000004vXOnQAM,AST,,2025-08-14,,3.5,6823.75,,,,,
122486004005,001Nz000001yLvSIAU,No Break,012Pv0000027hGnIAI,a1G4J0000025wwcUAA,2023-10-11,,Draft,AST,AST,1,006Nz000001vcG7IAI,0058d000004DOMXAA4,AST,,2024-10-10,,6.0,2100,,,,,
122486007005,0018d00000V5n5IAAR,2 at 10 to expire at 12,012Pv0000027hGnIAI,a1G4J0000025x1RUAQ,2023-05-15,,Draft,AST,AST,1,0068d00000CsQgRAAV,0054J000004vXOaQAM,AST,,2025-05-14,,6.0,1575,,,,,
122486008009,001Nz00000BdGWXIA3,No Break,012Pv0000027hGnIAI,a1G4J0000025wVrUAI,2024-06-03,,Draft,AST,AST,1,006Nz00000BMMlEIAX,0054J000005JWtDQAW,AST,,2025-06-02,,4.0,1875,,,,,
122486010002,0014J00000VvQY7QAN,2 at 4 to expire at 6,012Pv0000027hGnIAI,a1G4J0000025x0XUAQ,2021-12-21,,Draft,AST,AST,1,0064J00000DFR4CQAX,0054J000004vXOnQAM,AST,,2024-12-20,,6.0,1442.31,,,,,
122486011005,001Nz000000zohSIAQ,2 at 10 to expire at 12,012Pv0000027hGnIAI,a1G4J0000025x2sUAA,2023-09-04,,Draft,AST,AST,1,006Nz000000w2SrIAI,0058d000004DOMXAA4,AST,,2025-09-03,,6.0,1520,,"RTR Occupation Clause

Not to allow any adult to occupy the Premises unless such person has complied with the requirements of the Immigration Act 2014 (Right to Rent), by providing at his own expense evidence of such to the satisfaction of the Landlord or his Agent. Further not to allow any adult to remain in the Premises once his Right to Rent has expired unless such person can provide at his own expense further evidence of his continued Right to Rent to the satisfaction of the Landlord or his Agent",,,
122486012002,0014J00000VvRJnQAN,2 at 4 to expire at 6,012Pv0000027hGnIAI,a1G4J0000025wlvUAA,2021-05-21,,Draft,AST,AST,1,0064J00000DFRgJQAX,0054J000004vXOnQAM,AST,,2025-05-20,,4.0,1684.62,,,,,
122486013002,0014J00000VvRQYQA3,2 at 4 to expire at 6,012Pv0000027hGnIAI,a1G4J0000025wZ6UAI,2022-02-01,,Draft,AST,AST,1,0064J00000DFRJcQAP,0054J000004vXOnQAM,AST,,2025-01-31,,6.0,1744.35,,,,,
122486015005,001Nz000008dRVDIA2,No Break,012Pv0000027hGnIAI,a1G4J0000025x3OUAQ,2023-07-07,,Draft,AST,Licence,1,0068d00000F5gGIAAZ,0054J000004vXOnQAM,AST,,2024-07-06,,6.0,1510,,"Change Of Sharer Clause 

1. Khawaja Hassan Munir shall become a Tenant of the above property and shall assume joint and several responsibility for the rent and all other terms, conditions and obligations detailed within the above Tenancy Agreement.
2. Khawaja Hassan Munir shall reimburse Nishat Anjum the proportion of the deposit monies detailed in B.6 of the above Tenancy Agreement paid by them less any agreed offset for damage which may have occurred during the period from the original commencement of the Tenancy to the commencement of this Tenancy Agreement. 
3. GRML will have no involvement in the settlement of the outgoing tenants deposit or any issues regarding the current condition of the property with the incoming tenant(s). These matters and the exchange of funds will be resolved between the two parties named in points 1 and 2 above.
4. Khawaja Hassan Munir shall accept the Inventory Check-In Report effected at the commencement of the Tenancy and assume joint and several responsibility for all and any damage (save for fair wear and tear) to the Property or its fixtures and furniture with effect from the commencement of that Tenancy created on 7th July 2023.",,,
122486016007,001Nz00000B3egvIAB,No Break,012Pv0000027hGnIAI,a1G4J0000025wifUAA,2024-06-17,,Draft,AST,AST,1,006Nz00000AVRarIAH,0054J000005JWtDQAW,AST,,2025-06-16,,4.0,1575,,,,,
122486017005,0018d00000DyePBAAZ,No Break,012Pv0000027hGnIAI,a1G4J0000025x2xUAA,2023-05-05,,Draft,AST,AST,1,0068d00000CrMISAA3,0054J000004vXOaQAM,AST,,2024-05-04,,6.0,1675,,,,,
122486018003,001Nz0000090cT7IAI,No Break,012Pv0000027hGnIAI,a1G4J0000025wd3UAA,2024-03-22,,Draft,AST,AST,1,006Nz000008lDziIAE,0058d0000034SvqAAE,AST,,2025-03-21,,4.0,1550,,,,,
122486019001,0014J00000VvQzpQAF,No Break,012Pv0000027hGnIAI,a1G4J0000025wtGUAQ,2021-09-30,,Draft,AST,AST,1,0064J00000DFRdQQAX,0058d000006d5m0AAA,AST,,2024-09-29,,6.0,2036.54,,,,,
122486020007,001Nz00000549t4IAA,No Break,012Pv0000027hGnIAI,a1G4J0000025x2OUAQ,2024-01-19,,Draft,AST,AST,1,006Nz000004wNoMIAU,0058d000004DOMXAA4,AST,,2025-01-18,,6.0,1850,,,,,
122486021005,0018d00000G1r58AAB,No Break,012Pv0000027hGnIAI,a1G4J0000025x3WUAQ,2022-10-10,,Draft,AST,AST,1,0068d000009fLAqAAM,0058d000006d5m0AAA,AST,,2024-10-09,,6.0,2100,,,,,
122486023007,0018d00000Dyh2JAAR,No Break,012Pv0000027hGnIAI,a1G4J0000025wluUAA,2022-09-15,,Draft,AST,AST,1,0068d000008U0HpAAK,0058d000006d5m0AAA,AST,,2024-09-14,,6.0,1400,,,,,
122486025005,0014J00000VvRG1QAN,No Break,012Pv0000027hGnIAI,a1G4J0000025vhwUAA,2022-10-27,,Draft,AST,AST,1,0068d000009CvQjAAK,0058d000006d5m0AAA,AST,,2024-10-26,,6.0,1661.52,,,,,
122486026004,001Nz000007xHNNIA2,No Break,012Pv0000027hGnIAI,a1G4J0000025x4tUAA,2024-04-03,,Draft,AST,AST,1,006Nz000007k262IAA,0058d000004DOMXAA4,AST,,2024-10-02,,6.0,1525,,,,,
122486028005,001Nz000001Ng1DIAS,No Break,012Pv0000027hGnIAI,a1G4J0000025x12UAA,2023-09-06,,Draft,AST,AST,1,006Nz000001KUW2IAO,0058d000004DOMXAA4,AST,,2024-09-05,,6.0,1470,,,,,
122486029007,001Nz0000010gzbIAA,No Break,012Pv0000027hGnIAI,a1G4J0000025vYQUAY,2023-09-01,,Draft,AST,AST,1,006Nz000000xgL0IAI,0058d000004DOMXAA4,AST,,2024-08-31,,6.0,1750,,,,,
103135001001,0014J00000VvMQIQA3,Check Contract,012Pv0000027hGnIAI,a1G4J0000025tZdUAI,2000-05-12,,Draft,,Grnd Rent,1,0064J00000DFONsQAP,,,,,,,,,,,,
122486030003,0018d0000086zblAAA,2 at 10 to expire at 12,012Pv0000027hGnIAI,a1G4J0000025w7VUAQ,2022-04-14,,Draft,AST,AST,1,0068d000004fx9aAAA,0058d0000020feeAAA,AST,,2025-04-13,,4.0,1515,,,,,
122486031007,001Nz000004ilqaIAA,No Break,012Pv0000027hGnIAI,a1G4J0000025x38UAA,2023-12-22,,Draft,AST,AST,1,006Nz000004Ws9RIAS,0054J000004vXPBQA2,AST,,2024-12-21,,6.0,1850,,,,,
122486034005,0018d00000Q37fIAAR,2 at 10 to expire at 12,012Pv0000027hGnIAI,a1G4J0000025wxkUAA,2023-04-24,,Draft,AST,AST,1,0068d00000BJRuNAAX,0058d0000020feeAAA,AST,,2027-04-23,,4.0,1705,,,,,
122486035004,001Nz000007s1JGIAY,No Break,012Pv0000027hGnIAI,a1G4J0000025x3CUAQ,2024-03-15,,Draft,AST,AST,1,006Nz000007bMtaIAE,0058d000004DOMXAA4,AST,,2025-03-14,,6.0,1525,,,,,
122486036005,001Nz0000027jgrIAA,2 at 4 to expire at 6,012Pv0000027hGnIAI,a1G4J0000025wnVUAQ,2022-12-12,,Draft,AST,AST,1,0068d000009hSAQAA2,0054J000004vXOnQAM,AST,,2024-12-11,,6.0,1995,,,,,
122486037005,0014J00000VvRivQAF,No Break,012Pv0000027hGnIAI,a1G4J0000025wyxUAA,2023-11-16,,Draft,AST,AST,1,006Nz000002butKIAQ,0058d000004DOMXAA4,AST,,2024-11-15,,6.0,1815,,,,,
122486038005,001Nz0000033mCxIAI,No Break,012Pv0000027hGnIAI,a1G4J0000025x1GUAQ,2023-11-10,,Draft,AST,AST,1,006Nz0000030L1AIAU,0058d000004DOMXAA4,,,2024-11-09,,6.0,2095,,,,,
122486039008,0018d00000LLgopAAD,No Break,012Pv0000027hGnIAI,a1G4J0000025wyNUAQ,2022-12-07,,Draft,AST,AST,1,0068d00000BHUhEAAX,0054J000004vXOnQAM,AST,,2024-12-06,,6.0,1360,,,,,
122486041007,001Nz000007A489IAC,No Break,012Pv0000027hGnIAI,a1G4J0000025x3SUAQ,2024-02-02,,Draft,AST,AST,1,006Nz000006xrL7IAI,0058d000004DOMXAA4,AST,,2025-02-01,,6.0,1525,,,,,
122486042007,0018d0000087nBHAAY,2 at 10 to expire at 12,012Pv0000027hGnIAI,a1G4J0000025wkMUAQ,2022-06-06,,Draft,AST,AST,1,0068d000005w0jLAAQ,0058d0000034SvqAAE,AST,,2025-06-05,,4.0,1545,,,,,
122486044008,0018d00000Ejy5jAAB,2 at 10 to expire at 12,012Pv0000027hGnIAI,a1G4J0000025wtNUAQ,2022-08-17,,Draft,AST,AST,1,0068d000008fdhCAAQ,0058d000006d5m0AAA,AST,,2024-08-16,,6.0,1385,,,,,
122486045004,001Nz000007ZdH2IAK,2 at 10 to expire at 12,012Pv0000027hGnIAI,a1G4J0000025x1kUAA,2023-06-26,,Draft,AST,AST,1,0068d00000Cu3F9AAJ,0054J000004vXOnQAM,AST,,2026-06-25,,4.0,1463,,,,,
122486046004,0018d000006YirjAAC,2 at 10 to expire at 12,012Pv0000027hGnIAI,a1G4J0000025x3bUAA,2022-03-19,,Draft,AST,AST,1,0068d000003tK6KAAU,0058d000004GKjUAAW,AST,,2025-03-18,,6.0,1550,,,,,
122486047006,001Nz000007y0luIAA,Renewal 2 month,012Pv0000027hGnIAI,a1G4J0000025x1bUAA,2022-06-21,,Draft,AST,AST,1,0068d000005qrIJAAY,0054J000004vXOnQAM,AST,,2024-06-20,,6.0,1550,,"Change Of Sharer Clause 

1. Abhishek Reddy Kayetha and Lakshmikantha Dumpa shall cease to be a Tenant of the above property and shall have no claim on the deposit monies held as detailed in Clause B6 of the above Lease which deposit shall continue to be held by Grainger Residential Management Ltd. 
2. Yashwanth Reddy Patlolla and Pavan Kalyan Puvvada shall become a Tenant of the above property and shall assume joint and several responsibility for the rent and all other terms, conditions and obligations detailed within the above Tenancy Agreement.
3. Yashwanth Reddy Patlolla and Pavan Kalyan Puvvada shall reimburse Abhishek Reddy Kayetha and Lakshmikantha Dumpa the proportion of the deposit monies detailed in B.6 of the above Tenancy Agreement paid by them less any agreed offset for damage which may have occurred during the period from the original commencement of the Tenancy to the commencement of this Tenancy Agreement. 
4. GRML will have no involvement in the settlement of the outgoing tenants deposit or any issues regarding the current condition of the property with the incoming tenant(s). These matters and the exchange of funds will be resolved between the two parties named in points 1 and 2 above.
5. Yashwanth Reddy Patlolla and Pavan Kalyan Puvvada shall accept the Inventory Check-In Report effected at the commencement of the Tenancy and assume joint and several responsibility for all and any damage (save for fair wear and tear) to the Property or its fixtures and furniture with effect from the commencement of that Tenancy created on 21st June 2022.",,,
122486049008,0018d00000aG5HRAA0,No Break,012Pv0000027hGnIAI,a1G4J0000025wlzUAA,2023-07-18,,Draft,AST,AST,1,0068d00000F5tVoAAJ,0058d000004DOMXAA4,AST,,2024-07-17,,6.0,1550,,,,,
122486050008,0018d00000Ww04DAAR,2 at 10 to expire at 12,012Pv0000027hGnIAI,a1G4J0000025x3MUAQ,2023-04-27,,Draft,AST,AST,1,0068d00000CtvlsAAB,0054J000004vXOnQAM,AST,,2027-04-26,,4.0,1490,,,,,
122486051004,0014J00000Ydrw6QAB,2 at 10 to expire at 12,012Pv0000027hGnIAI,a1G4J0000025wjdUAA,2021-06-19,,Draft,AST,AST,1,0064J00000EmTKtQAN,0058d0000034SvqAAE,AST,,2024-06-18,,6.0,1495,,,,,
122486053008,001Nz000001E3qLIAS,No Break,012Pv0000027hGnIAI,a1G4J0000025x0PUAQ,2023-08-07,,Draft,AST,AST,1,006Nz0000019cqHIAQ,0058d000004DOMXAA4,AST,,2024-08-06,,6.0,2100,,,,,
122486055004,001Nz000001DfPmIAK,2 at 10 to expire at 12,012Pv0000027hGnIAI,a1G4J0000025wrqUAA,2022-07-02,,Draft,AST,AST,1,0064J00000DFRXGQA5,0054J000004vXOnQAM,AST,,2024-07-01,,6.0,2094.25,,"Change Of Sharer Clause 

1. Eunice Brenya shall cease to be a Tenant of the above property and shall have no claim on the deposit monies held as detailed in Clause B6 of the above Lease which deposit shall continue to be held by Grainger Residential Management Ltd. 
2. Elletina Nana Akua Mekkaoui shall become a Tenant of the above property and shall assume joint and several responsibility for the rent and all other terms, conditions and obligations detailed within the above Tenancy Agreement.
3. Elletina Nana Akua Mekkaoui shall reimburse Eunice Brenya the proportion of the deposit monies detailed in B.6 of the above Tenancy Agreement paid by them less any agreed offset for damage which may have occurred during the period from the original commencement of the Tenancy to the commencement of this Tenancy Agreement. 
4. GRML will have no involvement in the settlement of the outgoing tenants deposit or any issues regarding the current condition of the property with the incoming tenant(s). These matters and the exchange of funds will be resolved between the two parties named in points 1 and 2 above.
5. Elletina Nana Akua Mekkaoui shall accept the Inventory Check-In Report effected at the commencement of the Tenancy and assume joint and several responsibility for all and any damage (save for fair wear and tear) to the Property or its fixtures and furniture with effect from the commencement of that Tenancy created on 2nd July 2020.",,,
122486059006,001Nz000002zDDiIAM,No Break,012Pv0000027hGnIAI,a1G4J0000025wtdUAA,2023-10-27,,Draft,AST,AST,1,006Nz000002p1nKIAQ,0058d000004DOMXAA4,AST,,2024-10-26,,6.0,1800,,,,,
122486060002,0018d00000aFMpxAAG,No Break,012Pv0000027hGnIAI,a1G4J0000025x2oUAA,2023-07-06,,Draft,AST,AST,1,0068d00000F5ZQfAAN,0058d000004DOMXAA4,AST,,2024-07-05,,6.0,1480,,,,,
103226001001,0014J00000VvMGTQA3,Check Contract,012Pv0000027hGnIAI,a1G4J0000025teOUAQ,2005-06-01,,Draft,,AST-REF,1,0064J00000DFOT2QAP,,,,,,,,,,,,
122486061005,001Nz000008LlddIAC,No Break,012Pv0000027hGnIAI,a1G4J0000025wsfUAA,2024-03-01,,Draft,AST,AST,1,006Nz000007yUM0IAM,0058d000004DOMXAA4,AST,,2025-02-28,,4.0,1550,,,,,
122486062006,0018d00000C6gHdAAJ,2 at 4 to expire at 6,012Pv0000027hGnIAI,a1G4J0000025wx3UAA,2025-03-10,,Draft,AST,AST,1,006Pv00000F6aVQIAZ,0054J000004vXOqQAM,,,2026-03-09,,4.0,1340,,,,,
122486063002,0014J00000VvRXDQA3,2 at 10 to expire at 12,012Pv0000027hGnIAI,a1G4J0000025x4lUAA,2021-05-02,,Draft,AST,AST,1,0064J00000DFRXIQA5,0058d000004GKjUAAW,AST,,2026-05-01,,6.0,1736.54,,,,,
122486064003,0014J00000VvRd7QAF,No Break,012Pv0000027hGnIAI,a1G4J0000025x3IUAQ,2021-09-09,,Draft,AST,AST,1,0064J00000DFRneQAH,0058d000006d5m0AAA,AST,,2024-09-08,,6.0,1673.08,,,,,
122486065004,0014J00000ZPU4MQAX,Renewal 2 month,012Pv0000027hGnIAI,a1G4J0000025x5rUAA,2021-07-15,,Draft,AST,AST,1,0064J00000DZOBTQA5,0058d000006d5m0AAA,AST,,2024-07-14,,6.0,1495,,"Daily rent of £49.15
23 days of rent free
Total annual therefore 342 days x 49.15 = £16,809.3
/ 12 months = £1400.78pcm",,,
122486069003,0018d00000JjP2UAAV,2 at 4 to expire at 6,012Pv0000027hGnIAI,a1G4J0000025x1cUAA,2022-11-04,,Draft,AST,AST,1,0068d000009gvgfAAA,0054J000004vXOnQAM,AST,,2024-11-03,,6.0,1375,,,,,
122486070006,001Nz000009newnIAA,No Break,012Pv0000027hGnIAI,a1G4J0000025x1wUAA,2024-04-26,,Draft,AST,AST,1,006Nz000009ULEnIAO,0054J000005JWtDQAW,AST,,2025-04-25,,4.0,2150,,,,,
