#,"Score, 🔽",Name,API Version,Package,Access,Is Abstract?,Type,Implements,Size,Methods,Inner Classes,Annotations,Sharing,Coverage,Related Tests,Using,Referenced in,Dependencies,Created date,Modified date
,,,,,,,,,,,,,,,,,,,,
57,1,EoT_EndofTenancyTriggerHandler,58,,public,false,Class,,12733,6,0,,with,0.7686567164179104,"AVM_UnitTriggerHandlerTest,EoT_EndofTenancyTriggerHandlerTest,AVM_UtilTest",32,4,Dependencies,2024-01-17T05:53:55.000+0000,2024-04-12T07:26:40.000+0000
58,1,LC_VisualforceDomainController,54,,public,false,Class,,506,2,0,,with,0,,1,3,Dependencies,2024-01-17T05:53:56.000+0000,2024-01-17T05:53:56.000+0000
59,1,RecordTimelineDataProvider,54,,public,false,Class,,13960,7,0,,with,0,,37,4,Dependencies,2024-01-17T05:53:56.000+0000,2024-01-17T05:53:56.000+0000
60,1,SampleApexDataProvider,54,,global,false,Class,,3226,11,0,SuppressWarnings,with,0,,5,1,Dependencies,2024-01-17T05:53:56.000+0000,2024-01-17T05:53:56.000+0000
61,1,SearchApexClasses,54,,public,false,Class,,1026,1,0,,with,0,,4,2,Dependencies,2024-01-17T05:53:56.000+0000,2024-01-17T05:53:56.000+0000
62,1,TimelineDataResponse,54,,public,false,Class,,1602,1,1,,with,0,,3,2,Dependencies,2024-01-17T05:53:56.000+0000,2024-01-17T05:53:56.000+0000
63,1,TimelineDiagnosticController,54,,public,false,Class,,2378,3,1,,with,0,,21,3,Dependencies,2024-01-17T05:53:56.000+0000,2024-01-17T05:53:56.000+0000
64,1,TimelineSOQLUtils,54,,public,false,Class,,6838,2,0,,with,0,,15,2,Dependencies,2024-01-17T05:53:57.000+0000,2024-01-17T05:53:57.000+0000
65,1,VerifyApexProvider,54,,public,false,Class,,6245,2,2,,with,0,,1,2,Dependencies,2024-01-17T05:53:57.000+0000,2024-01-17T05:53:57.000+0000
66,1,ReferencingUtilHLAuthProviderMock,56,,public,false,Class,System.HttpCalloutMock,343,1,0,,with,0,,,1,Dependencies,2024-03-14T11:57:12.000+0000,2024-03-14T11:57:12.000+0000
67,1,ReferencingUtilHLCalloutAsync,56,,public,false,Class,"System.Queueable,Database.AllowsCallouts",11517,6,1,,with,0,,18,8,Dependencies,2024-03-14T11:57:12.000+0000,2024-03-14T11:57:12.000+0000
68,1,ReferencingUtilHLConstants,56,,public,false,Class,,1953,0,0,,with,0,,6,16,Dependencies,2024-03-14T11:57:12.000+0000,2024-06-21T07:07:39.000+0000
69,1,AVM_Util,60,,public,false,Class,,720,1,0,,Not specified,1,AVM_UtilTest,2,23,Dependencies,2024-04-08T13:47:57.000+0000,2024-04-08T14:02:05.000+0000
70,1,GDPR_SchemaUtils,59,,public,false,Class,,372,1,0,,with,0,,,3,Dependencies,2024-05-23T04:48:28.000+0000,2024-05-23T04:48:28.000+0000
71,1,GDPR_EmailUtils,59,,public,false,Class,,1111,1,0,,with,0,,,2,Dependencies,2024-05-23T04:49:49.000+0000,2024-06-18T07:29:19.000+0000
72,1,GDPR_BaseAnonymizator,59,,public,false,Class,GDPR_Anonymizatable,8726,6,0,,without,0,,7,1,Dependencies,2024-05-23T05:43:14.000+0000,2024-06-18T11:44:01.000+0000
73,1,GDPR_AnonymizationService,59,,public,false,Class,,2401,1,2,,with,0,,12,4,Dependencies,2024-05-28T09:36:00.000+0000,2024-06-17T11:08:58.000+0000
74,1,GDPR_AnonymizationBatch,59,,public,false,Class,"Database.Batchable,Database.Stateful,System.Schedulable",2894,5,0,,without,0,,6,5,Dependencies,2024-05-28T09:49:30.000+0000,2024-06-18T11:52:33.000+0000
75,1,GDPR_PersonAccountFieldHistoryRemover,59,,public,false,Class,GDPR_Anonymizatable,3518,3,0,,without,0,,7,1,Dependencies,2024-06-05T10:55:25.000+0000,2024-06-18T11:45:51.000+0000
76,,Constants,48,,public,false,Class,,2363,0,0,,with,1,"MediaLinksHelperTest,AVM_UnitTriggerHandlerTest,Renewals_OpportunityCloneTest",,51,Dependencies,2020-07-20T15:45:27.000+0000,2021-07-19T18:04:20.000+0000
77,,EmailHandler,48,,public,false,Class,,7996,5,1,,with,0.8717948717948718,EmailHandlerTest,21,31,Dependencies,2020-07-20T15:45:27.000+0000,2021-09-15T19:25:28.000+0000
78,,EmailHandlerForEmailFieldRecipient,51,,public,false,Class,,3268,3,1,,with,0.918918918918919,EmailHandlerForEmailFieldRecipientTest,6,1,Dependencies,2021-04-20T09:12:28.000+0000,2021-04-20T09:12:28.000+0000
79,,ListingsHelper,52,,public,false,Class,,13603,9,3,,with,0.9466666666666667,"RightmoveListingProcessorTest,ListingsHelperTest,ListingsHelperInvokableUpsertTest,ListingsHelperInvokableRemoveTest,ListingControllerTest,RightmoveListingRequestTest",39,15,Dependencies,2021-07-19T18:04:21.000+0000,2021-07-19T18:04:21.000+0000
80,,ListingsHelperInvokableRightmoveRemove,52,,public,false,Class,,410,1,0,,with,1,"ListingsHelperInvokableRemoveTest,ListingControllerTest",1,5,Dependencies,2021-07-19T18:04:21.000+0000,2021-07-19T18:04:21.000+0000
81,,ListingsHelperInvokableRightmoveUpsert,52,,public,false,Class,,628,2,0,,with,1,"ListingsHelperInvokableUpsertTest,ListingsHelperInvokableRemoveTest,ListingControllerTest",3,4,Dependencies,2021-07-19T18:04:21.000+0000,2021-07-19T18:04:21.000+0000
82,,RightmoveListingProcessor,51,,public,false,Class,,9627,5,0,,with,0.9345794392523364,"RightmoveListingProcessorTest,ListingsHelperTest,ListingsHelperInvokableUpsertTest,ListingsHelperInvokableRemoveTest,ListingControllerTest,RightmoveListingRequestTest",19,9,Dependencies,2021-07-19T18:04:21.000+0000,2021-07-19T18:04:21.000+0000
83,,SiteLoginController,54,,global,false,Class,,352,1,0,,with,1,SiteLoginControllerTest,,4,Dependencies,2022-05-20T12:31:40.000+0000,2022-05-20T12:31:40.000+0000
84,,ChangePasswordController,54,,public,false,Class,,376,1,0,,with,1,ChangePasswordControllerTest,,2,Dependencies,2022-05-20T12:31:40.000+0000,2022-05-20T12:31:40.000+0000
85,,ForgotPasswordController,54,,public,false,Class,,379,1,0,,with,0.8888888888888888,ForgotPasswordControllerTest,1,2,Dependencies,2022-05-20T12:31:40.000+0000,2022-05-20T12:31:40.000+0000
86,,MyProfilePageController,54,,public,false,Class,,1403,6,0,,with,0.875,MyProfilePageControllerTest,5,2,Dependencies,2022-05-20T12:31:40.000+0000,2022-05-20T12:31:40.000+0000
87,,CommunitiesLoginController,54,,global,false,Class,,393,1,0,,with,1,CommunitiesLoginControllerTest,,2,Dependencies,2022-05-20T12:31:44.000+0000,2022-05-20T12:31:44.000+0000
88,,CommunitiesLandingController,54,,public,false,Class,,203,1,0,,with,1,CommunitiesLandingControllerTest,,2,Dependencies,2022-05-20T12:31:44.000+0000,2022-05-20T12:31:44.000+0000
89,,CommunitiesSelfRegConfirmController,54,,public,false,Class,,118,0,0,,with,1,CommunitiesSelfRegConfirmControllerTest,,2,Dependencies,2022-05-20T12:31:44.000+0000,2022-05-20T12:31:44.000+0000
90,,EoT_EndofTenancyPhaseTriggerHandler,58,,public,false,Class,,7032,2,0,,with,0.9594594594594594,"AVM_UnitTriggerHandlerTest,EoT_EndofTenancyTriggerHandlerTest,AVM_UtilTest",34,2,Dependencies,2024-01-17T05:53:55.000+0000,2024-01-17T05:53:55.000+0000
91,,EoT_PrecedingTaskTriggerHandler,58,,public,false,Class,,3046,2,0,,with,1,"AVM_UnitTriggerHandlerTest,EoT_EndofTenancyTriggerHandlerTest,AVM_UtilTest",10,3,Dependencies,2024-01-17T05:53:56.000+0000,2024-01-17T05:53:56.000+0000
92,,ITimelineDataProvider,54,,global,false,Interface,,394,9,0,,n/a,0,,1,2,Dependencies,2024-01-17T05:53:56.000+0000,2024-01-17T05:53:56.000+0000
93,,ReferencingUtilHL,56,,public,false,Enum,,11302,7,1,,n/a,0,,31,12,Dependencies,2024-03-14T11:57:12.000+0000,2024-06-21T07:10:12.000+0000
94,,ReferencingUtilHLAuthProvider,56,,public,false,Interface,,3055,7,2,,n/a,0,,,1,Dependencies,2024-03-14T11:57:12.000+0000,2024-03-14T11:57:12.000+0000
95,,AVM_UnitTriggerHandler,59,,public,false,Class,,4195,1,0,,with,0.9545454545454546,"AVM_UnitTriggerHandlerTest,Renewals_OpportunityCloneTest",10,2,Dependencies,2024-04-12T11:05:23.000+0000,2024-04-15T12:18:27.000+0000
96,,GDPR_Anonymizatable,59,,public,false,Interface,,449,3,0,,n/a,0,,1,5,Dependencies,2024-05-23T05:39:10.000+0000,2024-05-28T13:17:05.000+0000
