#,"Score, 🔽",Name,Package,Developer Name,Folder,Format,Description
,,,,,,,
83,1,2023 Duplicate Contacts Report,,X2023_Duplicate_Contacts_Report_r3c,Public Reports,Tabular,You should set a description!
84,1,All Deals - JR,,All_Deals_JR1,Public Reports,Tabular,You should set a description!
85,1,Advance Payments with Opportunity Report,,Advance_Payments_with_Opportunity_Report_y3s,Public Reports,Tabular,You should set a description!
86,1,Integration created contact and account,,Integration_created_contact_and_account_167,Public Reports,Tabular,You should set a description!
87,1,New Leads through Lead Pro,,New_Leads_through_Lead_Pro_Oce,Public Reports,Tabular,You should set a description!
88,1,Today 's New Leads,,Today_s_New_Leads_MGf,Public Reports,Tabular,You should set a description!
89,1,Renewals Closed One,,Renewals_Closed_One_CKs,Public Reports,Summary,You should set a description!
90,1,Solstice Company Let Stats - by Matas S.,,Solstice_Total_Move_in_s_by_Matas_S1,Public Reports,Summary,You should set a description!
91,1,Solstice Total Move Out's - by Matas S.,,Solstice_Total_Move_Out_s_by_Matas_S,Public Reports,Summary,You should set a description!
92,1,Enigma Company Let Stats - by Matas S.,,Enigma_Company_Let_Stats_by_Matas_S,Public Reports,Summary,You should set a description!
93,1,Enigma Total Move in's - by Matas,,Enigma_Total_Move_in_s_by_Matas,Public Reports,Summary,You should set a description!
94,1,Solstice Total Move in's - by Matas S.,,Solstice_Total_Move_in_s_by_Matas_S2,Public Reports,Summary,You should set a description!
95,1,Enigma Total Move Out's - by Matas S.,,Enigma_Total_Move_Out_s_by_Matas_S,Public Reports,Summary,You should set a description!
96,1,Payments July Failure Report,,Payments_July_Failure_Report_f8w,Public Reports,Tabular,You should set a description!
97,1,Mears Duplicate contacts and accounts,,Mears_Duplicate_contacts_and_accounts_qMY,Public Reports,Tabular,You should set a description!
98,1,Copy of All units,,Copy_of_All_units_XoJ,Public Reports,Tabular,You should set a description!
99,1,MOVE IN 30TH AUG TPS Responses,,MOVE_IN_30TH_AUG_TPS_Responses_loc,Public Reports,Tabular,You should set a description!
100,1,Mear New report,,Mear_New_report_KfW,Public Reports,Tabular,You should set a description!
101,1,Authorization report,,Authorization_report_SxT,Public Reports,Tabular,You should set a description!
102,1,Units without the city county postcode,,All_units_without_the_3Gp,Public Reports,Tabular,You should set a description!
103,1,Referencing Users Report,,Referencing_Users_Report_cjC,Public Reports,Tabular,You should set a description!
104,1,Direct Debits pin yard and the filaments,,Direct_Debits_pin_yard_and_the_filaments_xYF,Public Reports,Tabular,You should set a description!
105,1,Mears role duplicate,,Mear_role_duplicate_FtK,Public Reports,Tabular,You should set a description!
106,1,Authorization report with Merch group,,Authorization_report_with_Merch_group,Public Reports,Tabular,You should set a description!
107,1,Renewal Candidates,,Renewal_Candidates_7Bd,Public Reports,Tabular,You should set a description!
108,1,CARD pin yard and the filaments,,CARD_pin_yard_and_the_filaments_1fZ,Public Reports,Tabular,You should set a description!
109,1,End of Year Report - Terms FY23,,End_of_Year_Report_Terms_FY23,Public Reports,Summary,You should set a description!
110,1,Repair survey,,Repair_survey_py8,Public Reports,Tabular,You should set a description!
111,1,2/22/2023 month 3,,X2222023_month_3_1LM,Public Reports,Tabular,You should set a description!
112,1,Authorisations with Contact mandates 5,,Authorisations_with_Contact_mandates_5_KSo,Public Reports,Tabular,You should set a description!
113,1,Authorisations with Contact mandate 2,,Authorisations_with_Contact_mandate_2_PYH,Public Reports,Tabular,You should set a description!
114,1,New Authorisations with Contact mandate,,New_Authorisations_with_Contact_mandate_LID,Public Reports,Tabular,You should set a description!
115,1,Authorisations with Contact mandates 4,,Authorisations_with_Contact_mandates_4_B8C,Public Reports,Tabular,You should set a description!
116,1,Authorisations with Contact mandates 12,,Authorisations_with_Contact_mandates_12_DtF,Public Reports,Tabular,You should set a description!
117,1,Authorisations with Contact mandates 3,,Authorisations_with_Contact_mandates_3_b5w,Public Reports,Tabular,You should set a description!
118,1,Authorisations with Contact mandates 6,,Authorisations_with_Contact_mandates_6_DR7,Public Reports,Tabular,You should set a description!
119,1,Authorisations with Contact mandates 7,,Authorisations_with_Contact_mandates_7_5EA,Public Reports,Tabular,You should set a description!
120,1,Authorisations with Contact mandates 8,,Authorisations_with_Contact_mandates_8_bDS,Public Reports,Tabular,You should set a description!
121,1,Authorisations with Contact mandates 9,,Authorisations_with_Contact_mandates_9_wBA,Public Reports,Tabular,You should set a description!
122,1,Authorisations with Contact mandates 10,,Authorisations_with_Contact_mandates_10_wVH,Public Reports,Tabular,You should set a description!
123,1,Authorisations with Contact mandates 11,,Authorisations_with_Contact_mandates_11_wHd,Public Reports,Tabular,You should set a description!
124,1,Authorisations with Contact mandates 13,,Authorisations_with_Contact_mandates_13_HAS,Public Reports,Tabular,You should set a description!
125,1,New authorization 8th Nov,,New_authorization_8th_Nov_dP2,Public Reports,Tabular,You should set a description!
126,1,Repair Touch Point Survey Responses,,Repair_Touch_Point_Survey_Responses_Ew6,Public Reports,Tabular,You should set a description!
127,1,Repair Touchpoint without units,,Repair_Touchpoint_without_units_BVU,Public Reports,Tabular,You should set a description!
128,1,Moveout TPS,,Moveout_TPS_nN3,Public Reports,Summary,You should set a description!
129,1,Karina Lizeth Apolo payments,,New_Report_40y,Public Reports,Tabular,You should set a description!
130,1,All Leads Report,,All_Leads_Report_ug3,Public Reports,Tabular,You should set a description!
131,1,Property to be sold units,,Property_to_be_sold_units_xrl,Public Reports,Tabular,You should set a description!
132,1,12 months Old lead,,X12_months_Old_lead_GEe,Public Reports,Tabular,You should set a description!
133,1,Opportunities without Agreed unit,,Opportunities_without_Agreed_unit_4SF,Public Reports,Tabular,You should set a description!
134,1,Month 3 - Survey Responses Report,,Month_3_Survey_Responses_Report_nnx,Public Reports,Tabular,You should set a description!
135,1,Authorisations Report 11/12/2023,,Authorisations_Report_11122023_Zvx,Public Reports,Tabular,You should set a description!
136,1,Missing auth payment records,,Missing_auth_payment_records_eSo,Public Reports,Tabular,You should set a description!
137,1,New Authorisations with Contact 11/12/23,,New_Authorisations_with_Contact_111223_HyG,Public Reports,Tabular,You should set a description!
138,1,Additional Lead tenant,,Additional_Lead_tenant_Syd,Public Reports,Tabular,You should set a description!
139,1,Opportunities without not processed,,Opportunities_EzC,Public Reports,Tabular,You should set a description!
140,1,Copy of Audit stage without processed by,,Copy_of_Audit_stage_without_processed_by_6qQ,Public Reports,Tabular,You should set a description!
141,1,Copy of Letting's Regions - Available Un,,Copy_of_Letting_s_Regions_Available_Un1,Public Reports,Summary,You should set a description!
142,1,Unit address with tenancy type,,Unit_address_with_tenancy_type_iCm,Public Reports,Tabular,You should set a description!
143,1,Copy of active users last login,,Copy_of_active_users_last_login_yhJ,Public Reports,Tabular,You should set a description!
144,1,All unit with Landlord name,,All_unit_with_Landlord_name_KAw,Public Reports,Tabular,You should set a description!
145,1,renewals exeption report test,,renewals_exeption_report_test,Public Reports,MultiBlock,You should set a description!
146,1,Opportunities with offer line item,,Opportunities_with_offer_line_item_yOY,Public Reports,Tabular,You should set a description!
147,1,12/02 Agreements Report,,X1202_Agreements_Report_jKm,Public Reports,Tabular,You should set a description!
148,1,Soriah Barry letting neg,,Soriah_Barry_letting_neg_Fzg,Public Reports,Tabular,You should set a description!
149,1,Security deposit override blank,,Security_deposit_override_blank_bYL,Public Reports,Tabular,You should set a description!
150,1,AM Overdue EoT Tasks,,AM_Overdue_EoT_Tasks,Public Reports,Summary,You should set a description!
151,1,Supplier with Contact Report,,Supplier_with_Contact_Report_U5H,Public Reports,Summary,You should set a description!
152,1,Rating,,New_Touch_Point_Survey_Responses_Report_PLo,Public Reports,Tabular,You should set a description!
153,1,Axis EoT report,,New_End_Of_Tenancies_Report_7RJ,Public Reports,Tabular,You should set a description!
154,1,Argo Rightmove listings,,Argo_Rightmove_listings,Argo,Summary,You should set a description!
155,1,Argo - Units Taken and Prices,,Argo_Units_Taken_and_Prices,Argo,Summary,You should set a description!
156,1,Argo rents acheived_1 beds,,Argo_rents_acheived_1_beds,Argo,Summary,You should set a description!
157,1,Argo blended 2 bed rents acheived,,Argo_blended_2_bed_rents_acheived,Argo,Summary,You should set a description!
158,1,Argo new let 1 bed rents acheived,,Argo_new_let_1_bed_rents_acheived,Argo,Summary,You should set a description!
159,1,Argo new let 2 bed rents acheived,,Argo_new_let_2_bed_rents_acheived,Argo,Summary,You should set a description!
160,1,Argo Renewal 1 bed rents acheived,,Argo_Renewal_1_bed_rents_acheived,Argo,Summary,You should set a description!
161,1,Argo blended 1 bed rents acheived,,Argo_blended_1_bed_rents_acheived,Argo,Summary,You should set a description!
162,1,Argo Renewal 2 bed rents acheived,,Argo_Renewal_2_bed_rents_acheived1,Argo,Summary,You should set a description!
163,1,BTR-Regions HDs This Week,,BTR_Regions_HDs_This_Week,Clean and Delete - Management Reporting,Summary,You should set a description!
164,1,BTR-Regions HDs Last Week,,BTR_Regions_HDs_Last_Week2,Clean and Delete - Management Reporting,Summary,You should set a description!
165,1,PRS-London HDs This Week,,PRS_London_HDs_This_Week,Clean and Delete - Management Reporting,Summary,You should set a description!
166,1,All HDs Last Week,,All_HDs_Last_Week,Clean and Delete - Management Reporting,Summary,You should set a description!
167,1,All HDs This Week,,All_HDs_This_Week,Clean and Delete - Management Reporting,Summary,You should set a description!
168,1,BTR-London HDs Last Week,,BTR_London_HDs_Last_Week,Clean and Delete - Management Reporting,Summary,You should set a description!
169,1,BTR-Regions - Voids with Let Pending,,BTR_Regions_Voids_with_Let_Pending,Clean and Delete - Management Reporting,Summary,You should set a description!
170,1,BTR-London HDs This Week,,BTR_London_HDs_This_Week,Clean and Delete - Management Reporting,Summary,You should set a description!
171,1,PRS-Regions HDs Last Week,,PRS_Regions_HDs_Last_Week,Clean and Delete - Management Reporting,Summary,You should set a description!
172,1,PRS-Regions HDs This Week,,PRS_Regions_HDs_This_Week,Clean and Delete - Management Reporting,Summary,You should set a description!
173,1,G-Trust HDs Last Week,,G_Trust_HDs_Last_Week,Clean and Delete - Management Reporting,Summary,You should set a description!
174,1,PRS-London HDs Last Week,,PRS_London_HDs_Last_Week,Clean and Delete - Management Reporting,Summary,You should set a description!
175,1,G-Trust HDs This Week,,G_Trust_HDs_This_Week,Clean and Delete - Management Reporting,Summary,You should set a description!
176,1,BTR-London - Voids with Let Pending,,BTR_London_Voids_with_Let_Pending,Clean and Delete - Management Reporting,Summary,You should set a description!
177,1,PRS-Regions - Voids with Let Pending,,PRS_Regions_Voids_with_Let_Pending,Clean and Delete - Management Reporting,Summary,You should set a description!
178,1,PRS-London- Voids with Let Pending,,PRS_London_Voids_with_Let_Pending,Clean and Delete - Management Reporting,Summary,You should set a description!
179,1,Voids with Let Pending,,Voids_with_Let_Pending,Clean and Delete - Management Reporting,Summary,You should set a description!
180,1,All BTR lets (new let and renewal),,All_BTR_lets_new_let_and_renewal,Clean and Delete - Management Reporting,Summary,You should set a description!
181,1,HDs paid over year,,HDs_paid_over_year,Clean and Delete - Management Reporting,Summary,You should set a description!
182,1,Account Brief Activities - [Activities],APXTConga4,CongaSP_AccountBrief_Activities,Composer Starter Pack Reports,Tabular,You should set a description!
183,1,Account Brief Cases - [Cases],APXTConga4,CongaSP_AccountBrief_Cases,Composer Starter Pack Reports,Tabular,You should set a description!
184,1,Account Brief Contacts - [Contacts],APXTConga4,CongaSP_AccountBrief_Contacts,Composer Starter Pack Reports,Tabular,You should set a description!
185,1,Account Brief Opportunities - [Opptys],APXTConga4,CongaSP_AccountBrief_Opptys,Composer Starter Pack Reports,Tabular,You should set a description!
186,1,Agreement Events,echosign_dev1,AgreementEvents,Adobe Sign Reports,Matrix,You should set a description!
187,1,Agreements By Sender,echosign_dev1,AgreementsBySender,Adobe Sign Reports,Matrix,You should set a description!
188,1,Average Minutes Until Signed,echosign_dev1,AverageMinutesUntilSigned,Adobe Sign Reports,Summary,You should set a description!
189,1,Oldest Unsigned,echosign_dev1,OldestUnsigned,Adobe Sign Reports,Summary,You should set a description!
190,1,Percent of Agreements Signed,echosign_dev1,PercentofAgreementsSigned,Adobe Sign Reports,Summary,You should set a description!
191,1,Recent Events,echosign_dev1,RecentEvents,Adobe Sign Reports,Summary,You should set a description!
192,1,Top Closers,echosign_dev1,TopClosers,Adobe Sign Reports,Summary,You should set a description!
193,1,Top Signed,echosign_dev1,TopSigned,Adobe Sign Reports,Summary,You should set a description!
194,1,Top Unsigned,echosign_dev1,TopUnsigned,Adobe Sign Reports,Summary,You should set a description!
195,1,Unsigned Agreements,echosign_dev1,UnsignedAgreements,Adobe Sign Reports,Summary,You should set a description!
196,1,Employment/industry type,,Employment_industry_type,Clippers Quay Reports,Summary,You should set a description!
197,1,Clippers Quay Parking Status,,Clippers_Quay_Parking_Status,Clippers Quay Reports,Summary,You should set a description!
198,1,Copy of HD's - This year,,Copy_of_HD_s_This_year,Clippers Quay Reports,Summary,You should set a description!
199,1,Clippers Quay Parking Waitlist,,Clippers_Quay_Parking_Waitlist,Clippers Quay Reports,Summary,You should set a description!
200,1,Clipper Quay - FV Units Not Reserved,,Clipper_Quay_FV_Units_Not_Reserved,Clippers Quay Reports,Summary,You should set a description!
201,1,FV Notice Received Dates,,FV_Notice_Received_Dates,Clippers Quay Reports,Summary,You should set a description!
202,1,Lead Generation Meeting - Clippers Quay,,Lead_Generation_Meeting_Clippers_Quay,Clippers Quay Reports,Summary,You should set a description!
203,1,Clippers - FVs upcoming,,Clippers_FVs_upcoming,Clippers Quay Reports,Summary,You should set a description!
204,1,Clippers - FVs with Lets,,Clippers_FVs_with_Lets,Clippers Quay Reports,Summary,You should set a description!
205,1,Clippers - FVs this Month,,Clippers_FVs_this_Month,Clippers Quay Reports,Summary,You should set a description!
206,1,Clippers Quay - Weekly Notices Recieved,,Clippers_Quay_Weekly_Notices_Recieved,Clippers Quay Reports,Summary,You should set a description!
207,1,Clippers Quay Void Days,,Clippers_Quay_Void_Days,Clippers Quay Reports,Summary,You should set a description!
208,1,The Filaments Parking Status,,The_Filaments_Parking_Status,The Filaments Reports,Summary,You should set a description!
209,1,Filaments Parking Waitlist,,Filaments_Parking_Waitlist,The Filaments Reports,Summary,You should set a description!
210,1,Filaments - FV Units Not Reserved,,Filaments_FV_Units_Not_Reserved,The Filaments Reports,Summary,You should set a description!
211,1,The Filaments - FVs upcoming,,The_Filaments_FVs_upcoming,The Filaments Reports,Summary,You should set a description!
212,1,The Filaments- FVs with Lets,,The_Filaments_FVs_with_Lets,The Filaments Reports,Summary,You should set a description!
213,1,The FIlaments- FVs this Month,,The_FIlaments_FVs_this_Month,The Filaments Reports,Summary,You should set a description!
214,1,The Filaments Void Days,,The_Filaments_Void_Days,The Filaments Reports,Summary,You should set a description!
215,1,Tribe Parking Status,,Tribe_Parking_Status,PRS Stock Reports,Summary,You should set a description!
216,1,The Rock Parking Status,,The_Rock_Parking_Status,PRS Stock Reports,Summary,You should set a description!
217,1,Spectrum Parking Status,,Spectrum_Parking_Status,PRS Stock Reports,Summary,You should set a description!
218,1,Heysmoor Heights Parking Status,,Heysmoor_Heights_Parking_Status,PRS Stock Reports,Summary,You should set a description!
219,1,Liverpool - Nurture,,Liverpool_Nurture,PRS Stock Reports,Summary,You should set a description!
220,1,Liverpool - Waitlist,,Liverpool_Waitlist,PRS Stock Reports,Summary,You should set a description!
221,1,Leads All Time - BP,,Leads_All_Time_BP,Brook Place Reports,Summary,You should set a description!
222,1,Undergrad Students,,Undergrad_Students1,Brook Place Reports,Summary,You should set a description!
223,1,Lead Generation Meeting - Brook Place,,Lead_Generation_Meeting_Brook_Place,Brook Place Reports,Summary,You should set a description!
224,1,Brook Place - FVs upcoming,,Brook_Place_FVs_upcoming,Brook Place Reports,Summary,You should set a description!
225,1,Brook Place - FVs with Lets,,Brook_Place_FVs_with_Lets,Brook Place Reports,Summary,You should set a description!
226,1,Brook Place - FVs this Month,,Brook_Place_FVs_this_Month,Brook Place Reports,Summary,You should set a description!
227,1,Brook Place Void Days,,Brook_Place_Void_Days,Brook Place Reports,Summary,You should set a description!
228,1,Student Percentage,,Student_Percentage,The Headline Reports,Summary,You should set a description!
229,1,Headline Parking Tracker,,Headline_Parking_Status,The Headline Reports,Summary,You should set a description!
230,1,Leads All Time - TF,,Leads_All_Time_TF,The Headline Reports,Summary,You should set a description!
231,1,Leads All Time - TH,,Leads_All_Time_TH,The Headline Reports,Summary,You should set a description!
232,1,The Headline Parking Waitlist,,The_Headline_Parking_Waitlist,The Headline Reports,Summary,You should set a description!
233,1,Lead Generation Meeting - The Headline,,Lead_Generation_Meeting_The_Headline,The Headline Reports,Summary,You should set a description!
234,1,The Headline - FVs upcoming,,The_Headline_FVs_upcoming,The Headline Reports,Summary,You should set a description!
235,1,The Headline - FVs with Lets,,The_Headline_FVs_with_Lets,The Headline Reports,Summary,You should set a description!
236,1,The Headline - FVs this Month,,The_Headline_FVs_this_Month,The Headline Reports,Summary,You should set a description!
237,1,The Headline Void Days,,The_Headline_Void_Days,The Headline Reports,Summary,You should set a description!
238,1,Units with Listings Report - TEMPLATE,,Units_with_Listings_Report_TEMPLATE,TEMPLATES,Summary,You should set a description!
239,1,Renewal CallBack and Change Requests,,Renewal_CallBack_and_Change_Requests,Renewals,Summary,You should set a description!
240,1,Renewal Offers Selected,,Renewal_Offers_Selected,Renewals,Summary,You should set a description!
241,1,Call back requests,,Renewal_Requests_at_Send_Offer_Stage,Renewals,Summary,You should set a description!
242,1,Renewals ARC Tracker,,Renewals_ARC_Tracker,Renewals,Tabular,You should set a description!
243,1,Renewals Next Month,,Renewals_Next_Month,Renewals,Summary,You should set a description!
244,1,Renewals from March 2023,,Renewals_from_March_2023,Renewals,Summary,You should set a description!
245,1,Renewal Test with Helen,,Renewal_Test_with_Helen,Renewals,Summary,You should set a description!
246,1,Mid Term Renewals with estate-,,Mid_Term_Renewals_with_estate,Renewals,Summary,You should set a description!
247,1,All Renewals with estate- Current&Next Q,,All_Renewals_with_estate_Current_Next_Q,Renewals,Summary,You should set a description!
248,1,Calls this year,,CSA_North_Calls_this_year,Letting Coordinator Reports - North,Summary,You should set a description!
249,1,CSA North - Emails this year,,CSA_North_Emails_this_year,Letting Coordinator Reports - North,Summary,You should set a description!
250,1,North CSA - Tasks assigned,,North_CSA_Tasks_assigned,Letting Coordinator Reports - North,Summary,You should set a description!
251,1,Northern CSA/TPT HDs Paid Report,,Northern_CSA_TPT_HDs_Paid_Report,Letting Coordinator Reports - North,Summary,You should set a description!
252,1,Last FY North CSA - Tasks assigned,,Last_FY_North_CSA_Tasks_assigned,Letting Coordinator Reports - North,Summary,You should set a description!
253,1,Northern Lead Review,,Northern_Lead_Review,Manager Reports,Summary,You should set a description!
254,1,Northern Lead Report v2,,Northern_Lead_Report_v2,Manager Reports,Summary,You should set a description!
255,1,Videos Sent by Team,,Videos_Sent_by_Team,Manager Reports,Summary,You should set a description!
256,1,RTR Check Report,,RTR_Check_Report,Manager Reports,Summary,You should set a description!
257,1,Todays Assigned Tasks,,Todays_Assigned_Tasks,Manager Reports,Summary,You should set a description!
258,1,Notice to Vacate Days,,Notice_to_Vacate_Days,Manager Reports,Summary,You should set a description!
259,1,Northern Negs Tasks - Today,,Northern_Negs_Tasks_Today,Northern CSA Reports,Summary,You should set a description!
260,1,Outstanding Sends,et4ae5,Outstanding_Sends,Marketing Cloud Admin,Tabular,You should set a description!
261,1,Marketing Cloud - Email Opt-In - Demo,,Marketing_Cloud_Email_OptIn_Demo_cLd,Marketing Cloud Admin,Tabular,You should set a description!
262,1,MC - Opportunities with Contacts Role,,MC_Opportunities_with_Contacts_Role_aFs,Marketing Cloud Admin,Tabular,You should set a description!
263,1,"MC - Opps, Offers, Opp Line Items",,MC_Opps_Offers_Opp_Line_Items_sMO,Marketing Cloud Admin,Tabular,You should set a description!
264,1,MC - Argo Apartments Leads,,MC_Abbeville_Apartments,Marketing Cloud Admin,Summary,You should set a description!
