Reference,Unit__c,Description,StartDate,EndDate,Term_Years,Term_Months,Term_Days,Status,Tenure,Type
103155001,a1G4J0000025tWpUAI,"48, Henshaw Street, Walworth, London",,,0,0,0,Tenanted,Regulated,Mid Terrace
103156001,a1G4J0000025talUAA,"49, Henshaw Street, Walworth, London",,,0,0,0,Tenanted,Regulated,Mid Terrace
103157001,a1G4J0000025taWUAQ,"53, Henshaw Street, Walworth, London",,,0,0,0,Tenanted,Regulated,Mid Terrace
103158001,a1G4J0000025tXZUAY,"54, Henshaw Street, Walworth, London",,,0,0,0,Tenanted,Regulated,Mid Terrace
103161001,a1G4J0000025tacUAA,"76, Henshaw Street, Walworth, London",,,0,0,0,Tenanted,Regulated,Mid Terrace
103163001,a1G4J0000025tcmUAA,"27, Broxash Road, Battersea, London",,,0,0,0,Tenanted,Regulated,Mid Terrace
103166001,a1G4J0000025tbjUAA,"62, Lavender Gardens, Flat 5, Battersea, Lond",2010-12-25,2135-12-24,125,0,0,Tenanted,Grnd Rent,Flat PB
103166002,a1G4J0000025tZAUAY,"62, Lavender Gardens, Flat 1, Battersea, Lond",1997-06-24,2122-06-23,125,0,0,Tenanted,Grnd Rent,Flat PB
103166003,a1G4J0000025tXKUAY,"62, Lavender Gardens, Flat 2, Battersea, Lond",2017-12-18,2142-12-17,125,0,0,Tenanted,Grnd Rent,Flat PB
103166004,a1G4J0000025tU0UAI,"62, Lavender Gardens, Flat 3, Battersea, Lond",1975-12-25,2074-12-24,99,0,0,Tenanted,Grnd Rent,Flat PB
103166005,a1G4J0000025tbeUAA,"62, Lavender Gardens, Flat 4, Battersea, Lond",1975-12-25,2074-12-24,99,0,0,Tenanted,Grnd Rent,Flat PB
103168001,a1G4J0000025tU7UAI,"89, Taybridge Road, FF, Battersea, London",,,0,0,0,Tenanted,Regulated,Flat PB
103168002,a1G4J0000025tWaUAI,"89, Taybridge Road, GF, Battersea, London",2011-10-25,2136-10-24,125,0,0,Tenanted,Grnd Rent,Flat PB
103175001,a1G4J0000025tcIUAQ,"19, Cheltenham Gardens, Loughton, Essex",2005-07-04,2194-07-03,189,0,0,Tenanted,Nil GR,Flat PB
103175002,a1G4J0000025tZeUAI,"21, Cheltenham Gardens, Loughton, Essex",2021-08-23,2171-08-22,150,0,0,Tenanted,Grnd Rent,Flat PB
103175003,a1G4J0000025tcNUAQ,"23, Cheltenham Gardens, Loughton, Essex",1950-12-25,2949-12-24,999,0,0,Tenanted,Grnd Rent,Flat PB
103175004,a1G4J0000025tcSUAQ,"25, Cheltenham Gardens, Loughton, Essex",1950-12-25,2949-12-24,999,0,0,Tenanted,Grnd Rent,Flat PB
103176001,a1G4J0000025tbLUAQ,"3, Cedar Road, Hornchurch, Essex",2017-06-30,2142-06-29,125,0,0,Tenanted,Grnd Rent,Flat PB
103176002,a1G4J0000025td6UAA,"3a, Cedar Road, Hornchurch, Essex",1984-09-29,2083-09-28,99,0,0,Tenanted,Grnd Rent,Flat PB
103177001,a1G4J0000025tc3UAA,"21, Trevellance Way, Hertfordshire",2002-09-29,2127-09-28,125,0,0,Tenanted,Grnd Rent,Flat PB
103177002,a1G4J0000025tV3UAI,"22, Trevellance Way, Hertfordshire",2003-09-01,2128-08-28,124,11,28,Tenanted,Grnd Rent,Flat PB
103178001,a1G4J0000025tX9UAI,"29, Trevellance Way, Hertfordshire",1962-06-04,2195-06-03,233,0,0,Tenanted,Grnd Rent,Flat PB
103178002,a1G4J0000025taIUAQ,"30, Trevellance Way, Hertfordshire",1998-09-29,2097-09-28,99,0,0,Tenanted,Grnd Rent,Flat PB
103179001,a1G4J0000025tcDUAQ,"45, Trevellance Way, Hertfordshire",2008-08-29,2107-08-28,99,0,0,Tenanted,Grnd Rent,Flat PB
103179002,a1G4J0000025tVhUAI,"46, Trevellance Way, Hertfordshire",2013-12-05,2133-12-04,120,0,0,Tenanted,Grnd Rent,Flat PB
103180001,a1G4J0000025tdQUAQ,"56, The Knoll, Beckenham, Kent",1960-03-25,2959-03-24,999,0,0,Tenanted,Grnd Rent,Flat PB
103180002,a1G4J0000025tWbUAI,"58, The Knoll, Beckenham, Kent",1960-03-25,2959-03-24,999,0,0,Tenanted,Grnd Rent,Flat PB
103180003,a1G4J0000025tdGUAQ,"60, The Knoll, Beckenham, Kent",1960-12-25,2149-12-24,189,0,0,Tenanted,Grnd Rent,Flat PB
103180004,a1G4J0000025tcsUAA,"74, The Knoll, Beckenham, Kent",1964-12-25,2963-12-24,999,0,0,Tenanted,Grnd Rent,Flat PB
103180005,a1G4J0000025tdBUAQ,"78, The Knoll, Beckenham, Kent",1960-03-25,2959-03-24,999,0,0,Tenanted,Grnd Rent,Flat PB
103180006,a1G4J0000025tdLUAQ,"54, The Knoll, Beckenham, Kent",1991-06-24,2090-06-23,99,0,0,Tenanted,Grnd Rent,Flat PB
103180007,a1G4J0000025tWVUAY,"76, The Knoll, Beckenham, Kent",2012-01-01,2136-12-31,125,0,0,Tenanted,Grnd Rent,Flat PB
103180008,a1G4J0000025tdVUAQ,"80, The Knoll, Beckenham, Kent",2010-01-01,2129-12-31,120,0,0,Tenanted,Grnd Rent,Flat PB
103182001,a1G4J0000025tdpUAA,"1, Home Farm Cottages, Hackwood Park, Basings",,,0,0,0,Tenanted,Regulated,S/D House
103187001,a1G4J0000025td1UAA,"Holly Howe Cottage, Henley on Thames",,,0,0,0,Tenanted,Regulated,Det House
103195001,a1G4J0000025tdMUAQ,"97, Oakdene Road, Orpington, Kent",1963-12-25,2962-12-24,999,0,0,Tenanted,Grnd Rent,Flat PB
103195002,a1G4J0000025taSUAQ,"99, Oakdene Road, Orpington, Kent, BR5 2AL",1963-12-25,2962-12-24,999,0,0,Tenanted,Grnd Rent,Flat PB
103196001,a1G4J0000025taiUAA,"16, Vale Drive, Chatham, Kent",1994-03-12,2029-03-11,35,0,0,Tenanted,Grnd Rent,Flat PB
103196002,a1G4J0000025tT0UAI,"16a, Vale Drive, Chatham, Kent",2011-01-01,2135-12-31,125,0,0,Tenanted,Grnd Rent,Flat PB
103200001,a1G4J0000025tchUAA,"2 Pioneer Cottages, High Littleton, BS39 6JG",2021-05-22,2022-05-21,0,12,0,Tenanted,AST,Mid Terrace
103212001,a1G4J0000025tdfUAA,"16, Highwood Avenue, Solihull, West Midlands",,,0,0,0,Tenanted,AST-REF,S/D House
103213001,a1G4J0000025tU2UAI,"52, Highwood Avenue, Solihull, West Midlands",2014-06-01,2015-05-31,1,0,0,Tenanted,AST-REF,S/D House
103215001,a1G4J0000025taNUAQ,"7, Dursley Close, Solihull, West Midlands",2013-04-01,2015-03-31,2,0,0,Tenanted,AST-REF,S/D House
103216001,a1G4J0000025tdzUAA,"12, Dursley Close, Solihull, West Midlands",2013-08-02,2015-08-01,2,0,0,Tenanted,AST-REF,S/D House
103219001,a1G4J0000025tXiUAI,"80, Knightsbridge Road, Solihull, West Midlan",2014-12-01,2016-11-30,2,0,0,Tenanted,AST-REF,S/D House
103220001,a1G4J0000025tc4UAA,"87, Knightsbridge Road, Solihull, West Midlan",2015-02-01,2017-01-31,2,0,0,Tenanted,AST-REF,S/D House
103223001,a1G4J0000025teJUAQ,"126, Knightsbridge Road, Solihull, West Midla",2014-05-01,2016-04-30,2,0,0,Tenanted,AST-REF,S/D House
103224001,a1G4J0000025tajUAA,"128, Knightsbridge Road, Solihull, West Midla",2014-08-01,2015-07-31,1,0,0,Tenanted,AST-REF,S/D House
103226001,a1G4J0000025teOUAQ,"7, Onslow Crescent, Solihull, West Midlands",2015-07-01,2017-06-30,2,0,0,Tenanted,AST-REF,S/D House
103229001,a1G4J0000025tb6UAA,"15, Onslow Crescent, Solihull, West Midlands",2014-09-01,2015-08-31,1,0,0,Tenanted,AST-REF,S/D House
103230001,a1G4J0000025tduUAA,"23, Onslow Crescent, Solihull, West Midlands",2014-05-01,2016-04-30,2,0,0,Tenanted,AST-REF,S/D House
103231001,a1G4J0000025teFUAQ,"25, Onslow Crescent, Solihull, West Midlands",2014-06-01,2015-05-31,1,0,0,Tenanted,AST-REF,S/D House
103235001,a1G4J0000025teTUAQ,"145, Summerfield Road, Solihull, West Midland",2014-06-01,2015-05-31,1,0,0,Tenanted,AST-REF,S/D House
103237001,a1G4J0000025tenUAA,"162, Summerfield Road, Solihull, West Midland",2014-05-01,2016-04-30,2,0,0,Tenanted,AST-REF,S/D House
103238001,a1G4J0000025teYUAQ,"2, Tanhouse Farm Road, Solihull, West Midland",2012-06-01,2014-05-31,2,0,0,Tenanted,AST-REF,S/D House
103239001,a1G4J0000025tedUAA,"9, Tanhouse Farm Road, Solihull, West Midland",2014-12-14,2016-12-13,2,0,0,Tenanted,AST-REF,S/D House
103241001,a1G4J0000025tfMUAQ,"23, Tanhouse Farm Road, Solihull, West Midlan",2014-12-02,2016-12-01,2,0,0,Tenanted,AST-REF,S/D House
103244001,a1G4J0000025tZhUAI,"49, Tanhouse Farm Road, Solihull, West Midlan",2015-05-01,2016-04-30,1,0,0,Tenanted,AST-REF,S/D House
103246001,a1G4J0000025tfqUAA,"60, Tanhouse Farm Road, Solihull, West Midlan",2013-12-01,2014-11-30,1,0,0,Tenanted,AST-REF,S/D House
103247001,a1G4J0000025tfRUAQ,"70, Tanhouse Farm Road, Solihull, West Midlan",2014-06-01,2016-05-31,2,0,0,Tenanted,AST-REF,S/D House
103248001,a1G4J0000025tfvUAA,"71, Tanhouse Farm Road, Solihull, West Midlan",2014-05-01,2016-04-30,2,0,0,Tenanted,AST-REF,S/D House
103249001,a1G4J0000025teAUAQ,"74, Tanhouse Farm Road, Solihull, West Midlan",2013-09-01,2015-08-31,2,0,0,Tenanted,AST-REF,End Terrace
103250001,a1G4J0000025teiUAA,"76, Elmdon Park Road, Solihull, West Midlands",2014-05-01,2016-04-30,2,0,0,Tenanted,AST-REF,S/D House
103251001,a1G4J0000025tflUAA,"7, Fallowfield Road, Solihull, West Midlands",2014-07-01,2015-06-30,1,0,0,Tenanted,AST-REF,S/D House
103252001,a1G4J0000025tfCUAQ,"9, Fallowfield Road, Solihull, West Midlands",2014-05-01,2016-04-30,2,0,0,Tenanted,AST-REF,S/D House
103253001,a1G4J0000025tfbUAA,"23, Fallowfield Road, Solihull, West Midlands",2014-06-01,2016-05-31,2,0,0,Tenanted,AST-REF,S/D House
103256001,a1G4J0000025tfgUAA,"41, Fallowfield Road, Solihull, West Midlands",2014-06-01,2016-05-31,2,0,0,Tenanted,AST-REF,S/D House
103257001,a1G4J0000025tfHUAQ,"49, Fallowfield Road, Solihull, West Midlands",2014-06-01,2016-05-31,2,0,0,Tenanted,AST-REF,S/D House
103259001,a1G4J0000025tfWUAQ,"63, Fallowfield Road, Solihull, West Midlands",2013-08-02,2015-08-01,2,0,0,Tenanted,AST-REF,S/D House
103261001,a1G4J0000025takUAA,"4, Farm Close, Solihull, West Midlands",2014-06-01,2016-05-31,2,0,0,Tenanted,AST-REF,End Terrace
103262001,a1G4J0000025tgjUAA,"12, Farm Close, Solihull, West Midlands",2014-06-01,2016-05-31,2,0,0,Tenanted,AST-REF,End Terrace
103263001,a1G4J0000025tgFUAQ,"15, Farm Close, Solihull, West Midlands",2015-05-01,2017-04-30,2,0,0,Tenanted,AST-REF,Mid Terrace
103264001,a1G4J0000025tgZUAQ,"1, Tanford Road, Solihull, West Midlands",2014-05-01,2016-04-30,2,0,0,Tenanted,AST-REF,S/D House
103266001,a1G4J0000025tg5UAA,"24, Wolverley Road, Solihull, West Midlands",2014-08-01,2016-07-31,2,0,0,Tenanted,AST-REF,S/D House
103270001,a1G4J0000025tgAUAQ,"860, Old Lode Lane, Solihull, West Midlands",2014-05-01,2016-04-30,2,0,0,Tenanted,AST-REF,S/D House
103336078,a1G4J0000025tVtUAI,"75, Victoria Court, Southport, Merseyside",,,0,0,0,Tenanted,Regulated,Flat PB
103336104,a1G4J0000025tTvUAI,"101, Victoria Court, Southport, Merseyside",,,0,0,0,AwaitDecision,Vac-S,Flat PB
103336139,a1G4J0000025tY9UAI,"Oxford/Weld Road Wayleave, Southport.",1990-10-01,,0,0,0,Tenanted,Licence,Wayleave
103337019,a1G4J0000025th3UAA,"G30, Victoria Court, Southport, Merseyside",,,0,0,0,Solic.Instrct,Vac-S,Garage
103337020,a1G4J0000025tXLUAY,"G31, Victoria Court, Southport, Merseyside",2019-04-01,2020-03-31,0,12,0,Vacant,Licence,Garage
103337036,a1G4J0000025th8UAA,"G47, Victoria Court, Southport, Merseyside",2003-07-15,,0,0,0,Solic.Instrct,Licence,Garage
103340001,a1G4J0000025tdWUAQ,"16, Oak Street, Throckley, Newcastle Upon Tyn",,,0,0,0,Tenanted,Regulated,Mid Terrace
103342001,a1G4J0000025tgoUAA,"17, The Leazes, Throckley, Newcastle Upon Tyn",,,0,0,0,Tenanted,Regulated,Mid Terrace
103384001,a1G4J0000025tgyUAA,"15, Lavenham Road, Southfields, London",,,0,0,0,Tenanted,Regulated,Mid Terrace
103385001,a1G4J0000025tUyUAI,"86, Harberton Road, Islington, London",2023-12-15,2025-12-14,2,0,0,Tenanted,AST,Mid Terrace
103386001,a1G4J0000025thXUAQ,"16, Barkham Terrace, Southwark, London",,,0,0,0,Tenanted,Regulated,Flat PB
103386002,a1G4J0000025thcUAA,"16a, Barkham Terrace, Southwark, London",2009-09-28,2134-09-27,125,0,0,Tenanted,Grnd Rent,Maisonette
103390001,a1G4J0000025tY8UAI,"9, Hatfield Road, Chiswick, London",,,0,0,0,Tenanted,Regulated,Mid Terrace
103391001,a1G4J0000025thSUAQ,"70, Cardross Street, Hammersmith, London",,,0,0,0,Tenanted,Regulated,Mid Terrace
