"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"4","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AVM_UnitTriggerHandlerTest.cls","3","55","Method name does not begin with a lower case character.","Code Style","MethodNamingConventions"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AVM_Util.cls","3","1","Apex classes should declare a sharing model if DML or SOQL is used","Security","ApexSharingViolations"
"2","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AVM_Util.cls","3","1","Missing ApexDoc comment","Documentation","ApexDoc"
"3","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AVM_Util.cls","3","4","Missing ApexDoc comment","Documentation","ApexDoc"
"4","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AVM_Util.cls","3","5","Validate CRUD permission before SOQL/DML operation","Security","ApexCRUDViolation"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AVM_UtilTest.cls","3","18","Apex unit test classes should have at least one System.runAs() call","Best Practices","ApexUnitTestClassShouldHaveRunAs"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AbstractTimelineDataProvider.cls","3","1","Avoid using global modifier","Best Practices","AvoidGlobalModifier"
"2","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AbstractTimelineDataProvider.cls","3","1","Missing ApexDoc comment","Documentation","ApexDoc"
"3","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AbstractTimelineDataProvider.cls","3","2","Missing ApexDoc comment","Documentation","ApexDoc"
"4","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AbstractTimelineDataProvider.cls","3","3","Missing ApexDoc comment","Documentation","ApexDoc"
"5","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AbstractTimelineDataProvider.cls","3","4","Missing ApexDoc comment","Documentation","ApexDoc"
"6","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AbstractTimelineDataProvider.cls","3","5","Missing ApexDoc comment","Documentation","ApexDoc"
"7","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AbstractTimelineDataProvider.cls","3","6","Missing ApexDoc comment","Documentation","ApexDoc"
"8","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AbstractTimelineDataProvider.cls","3","7","Missing ApexDoc comment","Documentation","ApexDoc"
"9","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AbstractTimelineDataProvider.cls","3","9","Missing ApexDoc comment","Documentation","ApexDoc"
"10","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AbstractTimelineDataProvider.cls","3","10","Missing ApexDoc comment","Documentation","ApexDoc"
"11","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AbstractTimelineDataProvider.cls","3","11","Missing ApexDoc comment","Documentation","ApexDoc"
"12","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AbstractTimelineDataProvider.cls","3","12","Missing ApexDoc comment","Documentation","ApexDoc"
"13","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AbstractTimelineDataProvider.cls","3","13","Missing ApexDoc comment","Documentation","ApexDoc"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AccountContactUpdateQueueableTest.cls","3","4","Missing ApexDoc comment","Documentation","ApexDoc"
"2","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AccountContactUpdateQueueableTest.cls","3","24","Apex unit test classes should have at least one System.runAs() call","Best Practices","ApexUnitTestClassShouldHaveRunAs"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AccountUpdateQueueable.cls","3","1","Missing ApexDoc comment","Documentation","ApexDoc"
"2","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AccountUpdateQueueable.cls","3","5","Missing ApexDoc comment","Documentation","ApexDoc"
"3","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AccountUpdateQueueable.cls","3","9","Missing ApexDoc comment","Documentation","ApexDoc"
"4","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AccountUpdateQueueable.cls","3","13","Missing ApexDoc comment","Documentation","ApexDoc"
"5","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AccountUpdateQueueable.cls","3","39","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"6","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AccountUpdateQueueable.cls","3","44","Missing ApexDoc comment","Documentation","ApexDoc"
"7","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AccountUpdateQueueable.cls","3","52","The instance field name 'primary_offer_live_unit' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","FieldNamingConventions"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AddChildObjectToConfigController.cls","3","1","Missing ApexDoc comment","Documentation","ApexDoc"
"2","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AddChildObjectToConfigController.cls","3","4","Missing ApexDoc comment","Documentation","ApexDoc"
"3","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AddChildObjectToConfigController.cls","3","6","Validate CRUD permission before SOQL/DML operation","Security","ApexCRUDViolation"
"4","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AddChildObjectToConfigController.cls","3","16","Missing ApexDoc comment","Documentation","ApexDoc"
"5","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AddChildObjectToConfigController.cls","3","22","Missing ApexDoc comment","Documentation","ApexDoc"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ApexDescribeUtils.cls","3","1","Apex classes should declare a sharing model if DML or SOQL is used","Security","ApexSharingViolations"
"2","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ApexDescribeUtils.cls","3","1","Avoid using global modifier","Best Practices","AvoidGlobalModifier"
"3","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ApexDescribeUtils.cls","3","1","Missing ApexDoc comment","Documentation","ApexDoc"
"4","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ApexDescribeUtils.cls","3","3","Missing ApexDoc comment","Documentation","ApexDoc"
"5","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ApexDescribeUtils.cls","3","5","Missing ApexDoc comment","Documentation","ApexDoc"
"6","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ApexDescribeUtils.cls","3","8","Missing ApexDoc comment","Documentation","ApexDoc"
"7","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ApexDescribeUtils.cls","3","11","Missing ApexDoc comment","Documentation","ApexDoc"
"8","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ApexDescribeUtils.cls","3","14","Missing ApexDoc comment","Documentation","ApexDoc"
"9","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ApexDescribeUtils.cls","3","17","Missing ApexDoc comment","Documentation","ApexDoc"
"10","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ApexDescribeUtils.cls","3","20","Missing ApexDoc comment","Documentation","ApexDoc"
"11","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ApexDescribeUtils.cls","3","23","Missing ApexDoc comment","Documentation","ApexDoc"
"12","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ApexDescribeUtils.cls","3","26","Missing ApexDoc comment","Documentation","ApexDoc"
"13","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ApexDescribeUtils.cls","3","29","Missing ApexDoc comment","Documentation","ApexDoc"
"14","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ApexDescribeUtils.cls","3","32","Missing ApexDoc comment","Documentation","ApexDoc"
"15","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ApexDescribeUtils.cls","3","34","Avoid long parameter lists","Design","ExcessiveParameterList"
"16","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ApexDescribeUtils.cls","3","34","Missing ApexDoc comment","Documentation","ApexDoc"
"17","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ApexDescribeUtils.cls","3","47","Missing ApexDoc comment","Documentation","ApexDoc"
"18","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ApexDescribeUtils.cls","3","49","Missing ApexDoc comment","Documentation","ApexDoc"
"19","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ApexDescribeUtils.cls","3","52","Missing ApexDoc comment","Documentation","ApexDoc"
"20","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ApexDescribeUtils.cls","3","54","Missing ApexDoc comment","Documentation","ApexDoc"
"21","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ApexDescribeUtils.cls","3","60","Missing ApexDoc comment","Documentation","ApexDoc"
"22","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ApexDescribeUtils.cls","3","74","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"23","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ApexDescribeUtils.cls","3","99","Missing ApexDoc comment","Documentation","ApexDoc"
"24","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ApexDescribeUtils.cls","3","112","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"25","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ApexDescribeUtils.cls","3","120","Avoid long parameter lists","Design","ExcessiveParameterList"
"26","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ApexDescribeUtils.cls","3","120","The method 'addFieldMetadata(Map<String, Schema.SObjectField>, List<FieldData>, String, String)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"27","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ApexDescribeUtils.cls","3","132","Validate CRUD permission before SOQL/DML operation","Security","ApexCRUDViolation"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ApexDescribeUtilsTest.cls","3","3","Apex unit test classes should have at least one System.runAs() call","Best Practices","ApexUnitTestClassShouldHaveRunAs"
"2","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ApexDescribeUtilsTest.cls","3","17","Apex unit test classes should have at least one System.runAs() call","Best Practices","ApexUnitTestClassShouldHaveRunAs"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AuthorizeDeduplicationBatch.cls","3","1","Avoid using global modifier","Best Practices","AvoidGlobalModifier"
"2","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AuthorizeDeduplicationBatch.cls","3","1","Missing ApexDoc comment","Documentation","ApexDoc"
"3","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AuthorizeDeduplicationBatch.cls","3","2","Missing ApexDoc comment","Documentation","ApexDoc"
"4","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AuthorizeDeduplicationBatch.cls","3","2","The method parameter name 'BC' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","FormalParameterNamingConventions"
"5","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AuthorizeDeduplicationBatch.cls","3","6","Missing ApexDoc comment","Documentation","ApexDoc"
"6","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AuthorizeDeduplicationBatch.cls","3","6","The method 'execute(Database.BatchableContext, List<asp04__Authorisation__c>)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"7","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AuthorizeDeduplicationBatch.cls","3","6","The method parameter name 'BC' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","FormalParameterNamingConventions"
"8","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AuthorizeDeduplicationBatch.cls","3","34","Avoid empty block statements.","Error Prone","EmptyStatementBlock"
"9","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AuthorizeDeduplicationBatch.cls","3","34","Missing ApexDoc comment","Documentation","ApexDoc"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AuthorizeDeduplicationBatchShceduler.cls","3","1","Apex classes should declare a sharing model if DML or SOQL is used","Security","ApexSharingViolations"
"2","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AuthorizeDeduplicationBatchShceduler.cls","3","1","Avoid using global modifier","Best Practices","AvoidGlobalModifier"
"3","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AuthorizeDeduplicationBatchShceduler.cls","3","1","Missing ApexDoc comment","Documentation","ApexDoc"
"4","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AuthorizeDeduplicationBatchShceduler.cls","3","2","Missing ApexDoc comment","Documentation","ApexDoc"
"5","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AuthorizeDeduplicationBatchShceduler.cls","3","7","Missing ApexDoc comment","Documentation","ApexDoc"
"6","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AuthorizeDeduplicationBatchShceduler.cls","3","8","The local variable name 'CRON_EXP' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"7","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AuthorizeDeduplicationBatchShceduler.cls","3","9","The local variable name 'BATCH_NAME' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\AuthorizeDeduplicationBatchTest.cls","3","4","Apex unit test classes should have at least one System.runAs() call","Best Practices","ApexUnitTestClassShouldHaveRunAs"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\CS_PaymentCreationController.cls","3","14","Apex classes should declare a sharing model if DML or SOQL is used","Security","ApexSharingViolations"
"2","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\CS_PaymentCreationController.cls","3","16","Missing ApexDoc comment","Documentation","ApexDoc"
"3","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\CS_PaymentCreationController.cls","3","21","Avoid using if statements without curly braces","Code Style","IfStmtsMustUseBraces"
"4","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\CS_PaymentCreationController.cls","3","21","Avoid using if...else statements without curly braces","Code Style","IfElseStmtsMustUseBraces"
"5","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\CS_PaymentCreationController.cls","3","61","Missing ApexDoc comment","Documentation","ApexDoc"
"6","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\CS_PaymentCreationController.cls","3","62","The local variable name 'PS' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"7","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\CS_PaymentCreationController.cls","3","65","Calls to System.debug should specify a logging level.","Best Practices","DebugsShouldUseLoggingLevel"
"8","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\CS_PaymentCreationController.cls","3","81","Missing ApexDoc comment","Documentation","ApexDoc"
"9","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\CS_PaymentCreationController.cls","3","81","The method 'changeHandler(List<asp04__PaymentSchedule__c>, Map<ID, asp04__PaymentSchedule__c>)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"10","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\CS_PaymentCreationController.cls","3","86","Validate CRUD permission before SOQL/DML operation","Security","ApexCRUDViolation"
"11","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\CS_PaymentCreationController.cls","3","86","Validate CRUD permission before SOQL/DML operation","Security","ApexCRUDViolation"
"12","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\CS_PaymentCreationController.cls","3","112","Validate CRUD permission before SOQL/DML operation","Security","ApexCRUDViolation"
"13","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\CS_PaymentCreationController.cls","3","131","Missing ApexDoc comment","Documentation","ApexDoc"
"14","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\CS_PaymentCreationController.cls","3","134","The local variable name 'PS' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"15","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\CS_PaymentCreationController.cls","3","142","Validate CRUD permission before SOQL/DML operation","Security","ApexCRUDViolation"
"16","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\CS_PaymentCreationController.cls","3","145","The local variable name 'PS' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"17","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\CS_PaymentCreationController.cls","3","148","The local variable name 'BILLING_CYCLES_DATES' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"18","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\CS_PaymentCreationController.cls","3","149","The local variable name 'BILLING_CYCLES' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","LocalVariableNamingConventions"
"19","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\CS_PaymentCreationController.cls","3","159","Missing ApexDoc comment","Documentation","ApexDoc"
"20","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\CS_PaymentCreationController.cls","3","159","The method parameter name 'Payments' doesn't match '[a-z][a-zA-Z0-9]*'","Code Style","FormalParameterNamingConventions"
"21","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\CS_PaymentCreationController.cls","3","160","Validate CRUD permission before SOQL/DML operation","Security","ApexCRUDViolation"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\CS_PaymentCreationControllerTest.cls","3","18","Missing ApexDoc comment","Documentation","ApexDoc"
"2","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\CS_PaymentCreationControllerTest.cls","3","35","Apex unit test classes should have at least one System.runAs() call","Best Practices","ApexUnitTestClassShouldHaveRunAs"
"3","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\CS_PaymentCreationControllerTest.cls","3","35","Missing ApexDoc @description","Documentation","ApexDoc"
"4","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\CS_PaymentCreationControllerTest.cls","3","65","Apex unit test classes should have at least one System.assert() or assertEquals() or AssertNotEquals() call","Best Practices","ApexUnitTestClassShouldHaveAsserts"
"5","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\CS_PaymentCreationControllerTest.cls","3","65","Apex unit test classes should have at least one System.runAs() call","Best Practices","ApexUnitTestClassShouldHaveRunAs"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\CS_PaymentScheduleTests.cls","3","17","Missing ApexDoc comment","Documentation","ApexDoc"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\CS_PaymentTriggerHandler.cls","3","15","Missing ApexDoc comment","Documentation","ApexDoc"
"2","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\CS_PaymentTriggerHandler.cls","3","40","Missing ApexDoc comment","Documentation","ApexDoc"
"1","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ChangePasswordController.cls","3","4","Missing ApexDoc @description","Documentation","ApexDoc"
"2","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ChangePasswordController.cls","3","5","Missing ApexDoc comment","Documentation","ApexDoc"
"3","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ChangePasswordController.cls","3","6","Missing ApexDoc comment","Documentation","ApexDoc"
"4","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ChangePasswordController.cls","3","7","Missing ApexDoc comment","Documentation","ApexDoc"
"5","","C:\ob\work\grainger\renewals\issues\BSS-27\vscode\grainger-uat\force-app\main\default\classes\ChangePasswordController.cls","3","9","Missing ApexDoc comment","Documentation","ApexDoc"
