Unit Reference,Salesforce Unit id,Unit  description,Event,Action Date,Event Date,Status,Attention Of,Unit Tenure,Unit Type,Unit Status,Include/Exclude,Multiple Rent Review Diaries,Comment
317352094,a1G4J0000025zORUAY,"Flat 94, Dibdin House, Maida Vale, W9 1QF",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Studio,Tenanted,Include,No,
317352098,a1G4J0000025zF4UAI,"Flat 98, Dibdin House, Maida Vale, W9 1QF",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317352114,a1G4J0000025ygxUAA,"Flat 114, Dibdin House, Maida Vale, W9 1QF",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317352122,a1G4J0000025zOnUAI,"Flat 122, Dibdin House, Maida Vale, W9 1QG",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317352139,a1G4J0000025zMLUAY,"Flat 139, Dibdin House, Maida Vale, W9 1QG",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317352144,a1G4J0000025zGfUAI,"Flat 144, Dibdin House, Maida Vale, W9 1QG",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317352152,a1G4J0000025z70UAA,"Flat 152, Dibdin House, Maida Vale, W9 1QG",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317352155,a1G4J0000025zNFUAY,"Flat 155, Dibdin House, Maida Vale, W9 1QG",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317353002,a1G4J0000025z76UAA,"Flat 162, Dibdin House, Maida Vale, W9 1QQ",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317353008,a1G4J0000025z6mUAA,"Flat 168, Dibdin House, Maida Vale, W9 1QQ",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317353015,a1G4J0000025z7zUAA,"Flat 175, Dibdin House, Maida Vale, W9 1QQ",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317353018,a1G4J0000025yhQUAQ,"Flat 178, Dibdin House, Maida Vale, W9 1QQ",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317353033,a1G4J0000025z7kUAA,"Flat 192, Dibdin House, Maida Vale, W9 1QQ",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317353058,a1G4J0000025z97UAA,"Flat 215, Dibdin House, Maida Vale, W9 1QH",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317354006,a1G4J0000025xIAUAY,"Flat 6, Benson House, Hatfields, SE1 8DQ",Rent Review,2025-08-01,2025-11-01,Pending,DS4,Assd.Per,Flat PB,Tenanted,Include,No,
317354008,a1G4J0000025yoUUAQ,"Flat 8, Benson House, Hatfields, SE1 8DQ",Rent Review,2025-08-01,2025-11-01,Pending,DS4,Assd.Per,Flat PB,Tenanted,Include,No,
317354021,a1G4J0000025yeLUAQ,"Flat 21, Benson House, Hatfields, SE1 8DQ",Rent Review,2025-08-01,2025-11-01,Pending,DS4,Assd.Per,Flat PB,Tenanted,Include,No,
317354023,a1G4J0000025yqUUAQ,"Flat 23, Benson House, Hatfields, SE1 8DQ",Rent Review,2025-08-01,2025-11-01,Pending,DS4,Assd.Per,Studio,Tenanted,Include,No,
317355005,a1G4J0000025z3OUAQ,"Flat 5, Tait House, Greet St, SE1 8NA",Rent Review,2025-08-01,2025-11-01,Pending,DS4,Assd.Per,Flat PB,Tenanted,Include,No,
317355025,a1G4J0000025z42UAA,"Flat 25, Tait House, Greet St, SE1 8NA",Rent Review,2025-08-01,2025-11-01,Pending,DS4,Assd.Per,Flat PB,Tenanted,Include,No,
317373004,a1G4J00000262qeUAA,"Flat 36, Burden House, Thorncroft St, SW8 2BG",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Studio,Tenanted,Include,No,
317373007,a1G4J00000262kSUAQ,"Flat 19, Burden House, Thorncroft St, SW8 2BG",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317383006,a1G4J00000262eLUAQ,"Flat 6, Courthope Hse, Hartington Rd,SW8 2HS",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317383014,a1G4J00000262f3UAA,"Flat 14, Courthope Hse,Hartington Rd,SW8 2HS",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317383024,a1G4J00000262kvUAA,"Flat 24, Courthope Hse,Hartington Rd,SW8 2HS",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317384004,a1G4J00000262i1UAA,"Flat 5, Daryngton Hse, Hartington Rd, SW8 2HR",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317384005,a1G4J00000262iGUAQ,"Flat 6, Daryngton Hse, Hartington Rd, SW8 2HR",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317384009,a1G4J00000262hYUAQ,"Flat 10, Daryngton Hse, Hartington Rd,SW8 2HR",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317384017,a1G4J00000262kMUAQ,"Flat 18, Daryngton Hse, Hartington Rd,SW8 2HR",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317385013,a1G4J00000262o9UAA,"Flat 13, Eastry House, Hartingdon Rd, SW8 2HU",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317387009,a1G4J00000262nQUAQ,"Flat 9, Lang House, Hartingdon Road, SW8 2HT",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317463006,a1G4J00000262lZUAQ,"Flat 6, Middleton Hse, Causton St, SW1P 4AS",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317463008,a1G4J00000262ljUAA,"Flat 8, Middleton Hse, Causton St, SW1P 4AS",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317463012,a1G4J00000262iMUAQ,"Flat 12, Middleton Hse, Causton St, SW1P 4AS",Rent Review,2025-08-01,2025-11-01,Active,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317463014,a1G4J00000262mIUAQ,"Flat 14, Middleton Hse, Causton St, SW1P 4AS",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317464005,a1G4J00000262p7UAA,"Flat 21, Middleton Hse, Causton St, SW1P 4AS",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317464006,a1G4J00000262k3UAA,"Flat 22, Middleton Hse, Causton St, SW1P 4AS",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317464010,a1G4J00000262pvUAA,"Flat 26, Middleton Hse, Causton St, SW1P 4AS",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317464014,a1G4J00000262iNUAQ,"Flat 30, Middleton Hse, Causton St, SW1P 4AS",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317466001,a1G4J00000262i6UAA,"2A Mitre Road, London, SE1 8PY",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317468003,a1G4J00000262jdUAA,"4C Mitre Road, London, SE1 8PY",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317471002,a1G4J00000262oJUAQ,"66 Mitre Road, London, SE1 8PU",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317473003,a1G4J00000262saUAA,"73 Mitre Road, London, SE1 8PU",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317481002,a1G4J00000260c7UAA,"102 Mitre Road, London, SE1 8PT",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317481004,a1G4J00000262wrUAA,"104 Mitre Road, London, SE1 8PT",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317562001,a1G4J00000262ynUAA,"26 Ufford Street, London, SE1 8QD",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,S/D House,Tenanted,Include,No,
317564003,a1G4J00000262uMUAQ,"56C Ufford Street, London, SE1 8QB",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assured,Flat PB,Tenanted,Include,No,
317583001,a1G4J00000262vFUAQ,"5A Webber Street, London, SE1 8PZ",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Studio,Tenanted,Include,No,
317584001,a1G4J00000262vtUAA,"7A Webber Street, London, SE1 8PZ",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317584006,a1G4J00000262wIUAQ,"7F Webber Street, London, SE1 8PZ",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317585011,a1G4J000002634CUAQ,"Flat 11, Wilbraham Hse, Wandsworth Rd,SW8 2XD",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317628002,a1G4J00000262yxUAA,"Flat 2, Aldwyn Hse, Davidson Gardens, SW8 2HX",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317628005,a1G4J00000262xlUAA,"Flat 5, Aldwyn Hse, Davidson Gardens, SW8 2HX",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317628008,a1G4J0000026300UAA,"Flat 8, Aldwyn Hse, Davidson Gardens, SW8 2HX",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317629021,a1G4J0000026321UAA,"22 Davidson Gardens, London, SW8 2XB",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317630017,a1G4J000002631NUAQ,"Flat 17, Fosbrooke Hse, Davidson Gdn, SW8 2XH",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317638004,a1G4J00000262y9UAA,"63 Mitre Road, London, SE1 8PX",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317638005,a1G4J00000262yJUAQ,"64 Mitre Road, London, SE1 8PX",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317665005,a1G4J0000025yG9UAI,"Flat 5, Charing House, Windmill Walk, SE1 8TR",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317665008,a1G4J0000025yg3UAA,"Flat 8, Charing House, Windmill Walk, SE1 8TR",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317665016,a1G4J0000025yeIUAQ,"Flat 16, Charing House, Windmill Wlk, SE1 8TR",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317666001,a1G4J0000025ylZUAQ,"Flat 1, Croydon House, Wotton St, SE1 8TS",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317666011,a1G4J0000025ylaUAA,"Flat 11, Croydon House, Wotton St, SE1 8TS",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317667004,a1G4J0000025ydiUAA,"Flat 4, Ospringe House, Wotton St, SE1 8TP",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317667017,a1G4J0000025yd8UAA,"Flat 17, Ospringe House, Wotton St, SE1 8TP",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317667023,a1G4J0000025yYmUAI,"Flat 23, Ospringe House, Wotton St, SE1 8TP",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317674002,a1G4J0000025yHlUAI,"Flat 2, Farnham House, Union Street, SE1 0LD",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317675008,a1G4J0000025yIuUAI,"Flat 8, Hoadly House, Union Street, SE1 0LB",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317676003,a1G4J0000025yMdUAI,"Flat 3, Thorold House, Pepper Street, SE1 0EL",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317678009,a1G4J0000025ykhUAA,"Flat 9, Trelawney House, Union St, SE1 0LF",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317680004,a1G4J0000025yMXUAY,"Flat 4, Waynflete House, Union St, SE1 0LE",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Studio,Tenanted,Include,No,
317681005,a1G4J0000025yaHUAQ,"Flat 5, Wykeham House, Union Street, SE1 0LG",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317681009,a1G4J0000025yQ0UAI,"Flat 9, Wykeham House, Union Street, SE1 0LG",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
317681010,a1G4J0000025yTIUAY,"Flat 10, Wykeham House, Union Street, SE1 0LG",Rent Review,2025-08-01,2025-11-01,Pending,SW4,Assd.Per,Flat PB,Tenanted,Include,No,
111243001,a1G4J0000025ujnUAA,"1, Napier Road, Chorlton cum Hardy, Mancheste",Rent Review,2025-08-02,2025-12-02,Pending,MKP,Assd.Per,S/D House,Solic.Instrct,Include,No,
127102003,a1G4J0000025x6SUAQ,3 Elizabeth House Scarletts Road Wellesley,Rent Review,2025-08-02,2025-11-02,Pending,MM2,Sh Owner,Flat PB,Tenanted,Include,No,
127408003,a1G4J0000025x9lUAA,"3 Ensor Hse, 17 Corunna Ave, Wellesley, Hants",Rent Review,2025-08-02,2025-12-02,Pending,MM2,Sh Owner,Flat PB,Tenanted,Include,No,
127419001,a1G4J0000025wwYUAQ,"18 Nicholson Way, Waterlooville, PO7 3DN",Rent Review,2025-08-02,2025-12-02,Pending,MM2,Sh Owner,S/D House,For Sale,Include,No,
127451001,a1G4J0000025xW4UAI,"6 Bruneval Drive, Wellesley, Aldershot, Hants",Rent Review,2025-08-02,2025-12-02,Pending,MM2,Aff Rent,Mid Terrace,Tenanted,Include,No,
127483019,a1G4J0000025xMWUAY,"19 Poppy Apartments, E16 2YH",Rent Review,2025-08-02,2025-11-02,Pending,JB0,Aff Rent,Flat PB,Tenanted,Include,No,
127574001,a1G4J0000025x8AUAQ,"20 Albuhera Road, Wellesley, Aldershot GU11 4",Rent Review,2025-08-02,2025-11-02,Pending,MM2,Sh Owner,End Terrace,Tenanted,Include,No,
127343001,a1G4J0000025wK0UAI,"7 Bazeley Road, Waterlooville, PO7 3BS",Rent Review,2025-08-03,2025-11-03,Pending,MM2,Aff Rent,Flat PB,Tenanted,Include,No,
127403001,a1G4J0000025xUhUAI,"15 Bruneval Drive, Wellesley, Aldershot, Hant",Rent Review,2025-08-03,2025-12-03,Pending,MM2,Sh Owner,S/D House,Tenanted,Include,No,
127536003,a1G4J0000025xbdUAA,"103 Juniper Hse 820 Seven Sisters Rd, N15 5EX",Rent Review,2025-08-03,2025-11-03,Pending,AL4,DMR ,Flat PB,Tenanted,Include,No,
127737001,a1G8d0000005i3HEAQ,"56 Plant Farm Crescent, Waterlooville PO7 3DB",Rent Review,2025-08-03,2025-11-03,Pending,AG3,Sh Owner,S/D House,Tenanted,Include,No,
122656001,a1G4J0000025x8WUAQ,"10, Orchard Mead, Waterlooville, PO7",Rent Review,2025-08-04,2025-12-04,Pending,MM2,Sh Owner,S/D House,Tenanted,Include,No,
127167001,a1G4J0000025xFSUAY,"24 Nevinson Way, Waterlooville, Hampshire",Rent Review,2025-08-04,2025-11-04,Active,MM2,Aff Rent,Mid Terrace,Tenanted,Include,No,
127483046,a1G4J0000025xZ3UAI,"46 Poppy Apartments, E16 2YH",Rent Review,2025-08-04,2025-12-04,Pending,MM2,DMR ,Flat PB,Tenanted,Include,No,
127593001,a1G4J0000025xZOUAY,"2 Fire Station Road, Wellesley, Aldershot GU1",Rent Review,2025-08-04,2025-12-04,Pending,MM2,Sh Owner,S/D House,Tenanted,Include,No,
127740001,a1G8d0000005i2TEAQ,"42 Plant Farm Crescent, Waterlooville PO7 3DB",Rent Review,2025-08-04,2025-11-04,Pending,AG3,Sh Owner,S/D House,Tenanted,Include,No,
127131001,a1G4J0000025xAKUAY,"1 Josephson House, Acland Street, Wellesley",Rent Review,2025-08-05,2025-11-05,Pending,MM2,Aff Rent,Flat PB,Tenanted,Include,No,
127288001,a1G4J0000025xMdUAI,"17 Market Garden, Aldershot, GU11 4BP",Rent Review,2025-08-05,2025-12-05,Pending,MM2,Aff Rent,End Terrace,Tenanted,Include,No,
127290001,a1G4J0000025xMnUAI,"21 Market Garden, Aldershot, GU11 4BP",Rent Review,2025-08-05,2025-12-05,Pending,MM2,Aff Rent,End Terrace,Tenanted,Include,No,
127483056,a1G4J0000025xY1UAI,"56 Poppy Apartments, E16 2YH",Rent Review,2025-08-05,2025-12-05,Pending,MM2,DMR ,Flat PB,Tenanted,Include,No,
127536007,a1G4J0000025xbyUAA,"201 Juniper Hse 820 Seven Sisters Rd, N15 5EX",Rent Review,2025-08-05,2025-11-05,Pending,AL4,DMR ,Flat PB,Tenanted,Include,No,
127553001,a1G4J0000025xU5UAI,"31 Bazeley Road, Waterlooville PO7 3BS",Rent Review,2025-08-05,2025-11-05,Pending,MM2,Sh Owner,Flat PB,Tenanted,Include,No,
127561001,a1G4J0000025wjzUAA,"8 Fire Station Road, Wellesley, Aldershot GU1",Rent Review,2025-08-05,2025-11-05,Pending,GW2,Aff Rent,S/D House,Tenanted,Include,No,
127563001,a1G4J0000025xRUUAY,"12 Barrosa Road, Wellesley, Aldershot, Hants",Rent Review,2025-08-05,2025-11-05,Pending,GW2,Aff Rent,End Terrace,Tenanted,Include,No,
127567001,a1G4J0000025x5zUAA,"20 Barrosa Road, Wellesley, Aldershot, Hants",Rent Review,2025-08-05,2025-11-05,Pending,GW2,Aff Rent,Mid Terrace,Tenanted,Include,No,
127578001,a1G4J0000025xZcUAI,"24 Albuhera Road, Wellesley, Aldershot GU11 4",Rent Review,2025-08-05,2025-11-05,Pending,GW2,Aff Rent,Mid Terrace,Tenanted,Include,No,
127582001,a1G4J0000025xDIUAY,"30 Albuhera Road, Wellesley, Aldershot GU11 4",Rent Review,2025-08-05,2025-11-05,Pending,GW2,Aff Rent,Mid Terrace,Tenanted,Include,No,
127586004,a1G4J0000025xVSUAY,"4 Alten Hse, Charteris Cl, Hants, GU11 4DX",Rent Review,2025-08-05,2025-11-05,Pending,MM2,Aff Rent,Flat PB,Tenanted,Include,No,
127586009,a1G4J0000025xaQUAQ,"3 Inglis Hse, Charteris Cl, Hants, GU11 4DY",Rent Review,2025-08-05,2025-11-05,Pending,GW2,Aff Rent,Flat PB,Tenanted,Include,No,
127107006,a1G4J0000025xBbUAI,"6 Sassoon Place, Waterlooville, Hampshire, PO",Rent Review,2025-08-06,2025-11-06,Pending,MM2,Aff Rent,Flat PB,Tenanted,Include,No,
127383001,a1G4J0000025xOVUAY,"11, Tanner Street, Aldershot, GU11 4BQ",Rent Review,2025-08-06,2025-12-06,Pending,MM2,Aff Rent,S/D House,Tenanted,Include,No,
127393001,a1G4J0000025x9kUAA,"3 Young Way, Wellesley, Aldershot, Hampshire,",Rent Review,2025-08-06,2025-12-06,Pending,MM2,Sh Owner,S/D House,Tenanted,Include,No,
127713001,a1G8d0000005GhDEAU,"2 Graham Close, Wellesley, Aldershot, Hants",Rent Review,2025-08-07,2025-11-07,Pending,AG3,Sh Owner,Mid Terrace,Tenanted,Include,No,
113653001,a1G4J0000025vwgUAA,"41, Trinity Road, G/F, Tooting, London",Rent Review,2025-08-08,2025-12-08,Pending,SR1,Assd.Per,Flat PB,Tenanted,Include,No,
127102005,a1G4J0000025x5OUAQ,5 Elizabeth House Scarletts Road Wellesley,Rent Review,2025-08-08,2025-11-08,Pending,MM2,Sh Owner,Flat PB,Tenanted,Include,No,
127200001,a1G4J0000025x6lUAA,"20 Nash Close, Waterlooville, Hampshire, PO7",Rent Review,2025-08-08,2025-12-08,Pending,MM2,Gr Lets,S/D House,Tenanted,Include,No,
